,A,B,C,D,E
0.0,0.0,0.0,0.0,0.0,0.0
0.015505,-0.0014655168532900448,0.001460926265443554,4.590587846490637e-06,-0.00039752686189614553,0.00039752686189614553
0.064495,-0.0013616842167360763,0.0013433624372326482,1.8321779503427812e-05,-0.00038981278522859375,0.00038981278522859375
0.1,-0.0012910619666302717,0.0012634871907334368,2.7574775896834863e-05,-0.00038431577566114565,0.00038431577566114565
0.115505,-0.0012613820471589685,0.0012299414931737573,3.144055398521124e-05,-0.0003819396106893958,0.0003819396106893958
0.164495,-0.0011720124685257866,0.0011290213931513362,4.299107537445056e-05,-0.0003745280072943963,0.0003745280072943963
0.2,-0.0011112273344528168,0.001060464746102778,5.0762588350038725e-05,-0.00036924653855506995,0.00036924653855506995
0.215505,-0.0010856815909847841,0.0010316753834999268,5.400620748485738e-05,-0.0003669635443445276,0.0003669635443445276
0.264495,-0.0010087604816867346,0.0009450753658620172,6.368511582471734e-05,-0.0003598425540754227,0.0003598425540754227
0.3,-0.0009564422318613124,0.0008862569136282875,7.01853182330249e-05,-0.00035476817468746197,0.00035476817468746197
0.315505,-0.000934454806660732,0.0008615597093558792,7.289509730485272e-05,-0.0003525746979603258,0.0003525746979603258
0.364495,-0.0008682481942302505,0.0007872798987120326,8.096829551821797e-05,-0.00034573292571345957,0.00034573292571345957
0.4,-0.0008232174592234083,0.0007368394499378447,8.637800928556366e-05,-0.00034085751558725184,0.00034085751558725184
0.415505,-0.0008042927069430101,0.0007156627746879237,8.862993225508644e-05,-0.0003387500463127918,0.0003387500463127918
0.464495,-0.0007473081474440596,0.0006519819653446658,9.532618209939375e-05,-0.0003321765437929135,0.0003321765437929135
0.5,-0.000708549834579566,0.0006087488665066417,9.98009680729243e-05,-0.0003274923012321141,0.0003274923012321141
0.515505,-0.0006922611493148181,0.0005906007465368028,0.00010166040277801526,-0.00032546746700987377,0.00032546746700987377
0.564495,-0.0006432140843453016,0.0005360375839922772,0.00010717650035302437,-0.00031915171521052995,0.00031915171521052995
0.6,-0.0006098544952585653,0.0004990043168252084,0.00011085017843335706,-0.0003146511444276836,0.0003146511444276836
0.615505,-0.0005958346939040808,0.00048346133793691345,0.00011237335596716738,-0.00031270570509091977,0.00031270570509091977
0.664495,-0.000553619493799423,0.0004367409075240245,0.0001168785862753985,-0.0003066375974617995,0.0003066375974617995
0.7,-0.0005249066293378901,0.00040504036414404625,0.00011986626519384371,-0.0003023134965834808,0.0003023134965834808
0.715505,-0.0005128396744655657,0.00039173812126084976,0.00012110155320471591,-0.0003004443390142056,0.0003004443390142056
0.764495,-0.0004765047149530258,0.0003517631907654596,0.0001247415241875662,-0.00029461416528850403,0.00029461416528850403
0.8,-0.0004517913234468289,0.00032464911421572606,0.00012714220923110283,-0.00029045961483078385,0.00029045961483078385
0.815505,-0.0004414051991210277,0.00031327399127142446,0.00012813120784960325,-0.00028866374797811156,0.00028866374797811156
0.864495,-0.0004101314095972337,0.0002791002592632196,0.00013103115033401397,-0.00028306217863403096,0.00028306217863403096
0.9,-0.00038886039637050406,0.00025593040856341197,0.0001329299878070921,-0.00027907053042982563,0.00027907053042982563
0.915505,-0.0003799209763053471,0.0002462125033983129,0.0001337084729070342,-0.0002773450805236534,0.0002773450805236534
0.964495,-0.0003530033761676333,0.00021702729530975742,0.00013597608085787584,-0.00027196315185517835,0.00027196315185517835
1.0,-0.00033469524538848664,0.00019724895550722593,0.00013744628988126073,-0.00026812801841576443,0.00026812801841576443
1.015505,-0.0003270010152219162,0.0001889559902817998,0.00013804502494011646,-0.0002664702243681269,0.0002664702243681269
1.064495,-0.0003038328220414068,0.00016405992199061546,0.00013977290005079133,-0.000261299324141182,0.000261299324141182
1.1,-0.00028807486782204066,0.00014719743257259459,0.00014087743524944608,-0.00025761456843485114,0.00025761456843485114
1.115505,-0.0002814523825350017,0.00014012951242356464,0.0001413228701114371,-0.0002560217774215905,0.0002560217774215905
1.164495,-0.00026151133383440275,0.0001189207079884348,0.00014259062584596793,-0.0002510536310926287,0.0002510536310926287
1.2,-0.0002479483369247197,0.00010456472851320486,0.00014338360841151482,-0.00024751335672412776,0.00024751335672412776
1.215505,-0.00024224831100561002,9.854983029844077e-05,0.00014369848070716924,-0.0002459830199398093,0.0002459830199398093
1.264495,-0.00022508489130423304,8.051033807404517e-05,0.00014457455323018789,-0.00024120967741477677,0.00024120967741477677
1.3,-0.00021341111166182252,6.830860903978011e-05,0.0001451025026220424,-0.00023780821918981744,0.00023780821918981744
1.315505,-0.00020850505387984302,6.319869847622311e-05,0.0001453063554036199,-0.00023633788776909718,0.00023633788776909718
1.364495,-0.0001937323616173361,4.788279939019277e-05,0.00014584956222714335,-0.00023175171068158662,0.00023175171068158662
1.4,-0.00018368464634857683,3.753219006630407e-05,0.00014615245628227277,-0.00022848362554132615,0.00022848362554132615
1.415505,-0.00017946196327630736,3.3199879730566e-05,0.00014626208354574135,-0.00022707094664024344,0.00022707094664024344
1.464495,-0.00016674698919307,2.0224024158601472e-05,0.00014652296503446852,-0.00022266459612847844,0.00022266459612847844
1.5,-0.00015809884050305302,1.146368811546883e-05,0.00014663515238758418,-0.00021952465443946366,0.00021952465443946366
1.515505,-0.00015446434349522596,7.799360969032532e-06,0.00014666498252619342,-0.0002181673674703893,0.0002181673674703893
1.564495,-0.00014352046386485436,-3.166492643226212e-06,0.0001466869565080806,-0.0002139337924334797,0.0002139337924334797
1.6,-0.00013607693329455815,-1.0561008600174684e-05,0.00014663794189473283,-0.00021091696961911851,0.00021091696961911851
1.615505,-0.00013294869272480016,-1.3651675005229461e-05,0.0001466003677300296,-0.0002096129026333321,0.0002096129026333321
1.664495,-0.00012352920821936516,-2.2891515026390755e-05,0.00014642072324575593,-0.00020554532844800817,0.00020554532844800817
1.7,-0.00011712250207485913,-2.9113341320348945e-05,0.00014623584339520807,-0.00020264679694817456,0.00020264679694817456
1.715505,-0.00011443000046013619,-3.171150576690404e-05,0.0001461415062270402,-0.00020139386316028306,0.00020139386316028306
1.764495,-0.00010632257499998268,-3.946968382570443e-05,0.0001457922588256871,-0.000197485780840053,0.000197485780840053
1.8,-0.00010080827191028377,-4.468499227372706e-05,0.00014549326418401083,-0.00019470090238596092,0.00019470090238596092
1.815505,-9.849081429037755e-05,-4.686048397413298e-05,0.0001453512982645105,-0.00019349709683459698,0.00019349709683459698
1.864495,-9.151268851778149e-05,-5.334723761382381e-05,0.0001448599261316053,-0.00018974225261397993,0.00018974225261397993
1.9,-8.676648385672682e-05,-5.7698997675830935e-05,0.00014446548153255776,-0.00018706657080596394,0.00018706657080596394
1.915505,-8.477182959516785e-05,-5.951189488176125e-05,0.0001442837244769291,-0.00018590996714541987,0.00018590996714541987
1.964495,-7.876570107292699e-05,-6.490810092165536e-05,0.00014367380199458235,-0.00018230235247258686,0.00018230235247258686
2.0,-7.46806048571063e-05,-6.851931271153698e-05,0.0001431999175686433,-0.00017973158564891164,0.00017973158564891164
2.015505,-7.296379002132245e-05,-7.002130142635996e-05,0.00014298509144768242,-0.00017862033306657532,0.00017862033306657532
2.064495,-6.77942672868168e-05,-7.448256718751017e-05,0.00014227683447432698,-0.00017515417498838442,0.00017515417498838442
2.1,-6.427819238396924e-05,-7.745904412963913e-05,0.00014173723651360838,-0.0001726842093736727,0.0001726842093736727
2.115505,-6.28005161584845e-05,-7.869458755346426e-05,0.00014149510371194878,-0.00017161652962833265,0.00017161652962833265
2.164495,-5.8351066699717334e-05,-8.235477217932286e-05,0.0001407058388790402,-0.00016828628155237242,0.00016828628155237242
2.2,-5.532475298045754e-05,-8.478753604171213e-05,0.00014011228902216966,-0.0001659131646746867,0.0001659131646746867
2.215505,-5.4052905264646106e-05,-8.57948811127288e-05,0.0001398477863773749,-0.0001648873492509666,0.0001648873492509666
2.264495,-5.022322861887416e-05,-8.876912636860268e-05,0.00013899235498747686,-0.00016168768206982487,0.00016168768206982487
2.3,-4.761845625752236e-05,-9.073646866597371e-05,0.00013835492492349607,-0.00015940761643586904,0.00015940761643586904
2.315505,-4.6523766782035864e-05,-9.154851238945393e-05,0.0001380722791714898,-0.0001584220238102386,0.0001584220238102386
2.364495,-4.322753354080361e-05,-9.393585126702661e-05,0.00013716338480783023,-0.00015534781737379366,0.00015534781737379366
2.4,-4.098558518915625e-05,-9.550510750621633e-05,0.00013649069269537257,-0.00015315715439211344,0.00015315715439211344
2.415505,-4.004337722444222e-05,-9.61501426018225e-05,0.00013619351982626472,-0.0001522102074061008,0.0001522102074061008
2.464495,-3.72062829771773e-05,-9.803574453769837e-05,0.00013524202751487568,-0.00014925654232818871,0.00014925654232818871
2.5,-3.527662014520307e-05,-9.926482130458497e-05,0.00013454144144978803,-0.00014715177647064726,0.00014715177647064726
2.515505,-3.4465654233270805e-05,-9.976717798215811e-05,0.00013423283221542892,-0.00014624195980704864,0.00014624195980704864
2.564495,-3.202374458101129e-05,-0.00010122428130775468,0.00013324802588876597,-0.0001434041095933961,0.0001434041095933961
2.6,-3.0362868387156632e-05,-0.00010216297062330775,0.00013252583901046438,-0.00014138187278558073,0.00014138187278558073
2.615505,-2.9664863557070374e-05,-0.00010254356895578393,0.0001322084325128543,-0.00014050773054362988,0.00014050773054362988
2.664495,-2.7563092438417293e-05,-0.00010363514414529687,0.00013119823658371417,-0.00013778115402845483,0.00013778115402845483
2.7,-2.613356304830569e-05,-0.000104326254722859,0.00013045981777116467,-0.00013583821026003965,0.00013583821026003965
2.715505,-2.5532784722539968e-05,-0.00010460308006959199,0.00013013586479213197,-0.0001349983436256559,0.0001349983436256559
2.764495,-2.3723773553303345e-05,-0.00010538326128424994,0.0001291070348375533,-0.0001323786777048335,0.0001323786777048335
2.8,-2.249336620280118e-05,-0.00010586359219263281,0.000128356958395434,-0.00013051191785127235,0.00013051191785127235
2.815505,-2.197627150495322e-05,-0.00010605210439175465,0.00012802837589670786,-0.00012970498285865955,0.00012970498285865955
2.864495,-2.0419241159746038e-05,-0.00010656742159536775,0.0001269866627551138,-0.00012718803550782468,0.00012718803550782468
2.9,-1.936021973728226e-05,-0.00010686860027975283,0.00012622882001703508,-0.00012539447235508858,0.00012539447235508858
2.915505,-1.8915152205590475e-05,-0.000106982085835181,0.00012589723804077148,-0.00012461917773610334,0.00012461917773610334
2.964495,-1.757500376586634e-05,-0.0001072725252603259,0.00012484752902619224,-0.00012220092130251745,0.00012220092130251745
3.0,-1.666349557893989e-05,-0.00010742172881521615,0.00012408522439415602,-0.00012047768476691486,0.00012047768476691486
3.015505,-1.6280422403773705e-05,-0.00010747160401885943,0.00012375202642263313,-0.00011973278988476179,0.00011973278988476179
3.064495,-1.512694595032922e-05,-0.00010757152089359257,0.0001226984668439218,-0.00011740935464220896,0.00011740935464220896
3.1,-1.434240358205398e-05,-0.00010759209685023518,0.00012193450043228917,-0.00011575368717763963,0.00011575368717763963
3.115505,-1.4012689444125079e-05,-0.00010758816867389058,0.00012160085811801567,-0.00011503800004158795,0.00011503800004158795
3.164495,-1.301988305849458e-05,-0.00010752707278841453,0.0001205469558469091,-0.00011280566799798766,0.00011280566799798766
3.2,-1.2344621183234442e-05,-0.00010743907341388353,0.00011978369459711798,-0.00011121492018328047,0.00011121492018328047
3.215505,-1.2060833594340917e-05,-0.0001073897640533249,0.00011945059764766582,-0.00011052729554122446,0.00011052729554122446
3.264495,-1.1206317217864117e-05,-0.00010719299587947287,0.00011839931309733699,-0.00010838249448905075,0.00010838249448905075
3.3,-1.0625113934754925e-05,-0.00010701363803489568,0.00011763875196965062,-0.0001068541207883246,0.0001068541207883246
3.315505,-1.038085569300683e-05,-0.0001069261781692642,0.00011730703386227104,-0.00010619345829413591,0.00010619345829413591
3.364495,-9.64536663065222e-06,-0.00010661549077839754,0.00011626085740904978,-0.00010413275609412344,0.00010413275609412344
3.4,-9.1451203281836e-06,-0.00010635955170568444,0.00011550467203386803,-0.00010266431078338677,0.00010266431078338677
3.415505,-8.934885310878968e-06,-0.00010624014683003898,0.00011517503214091796,-0.00010202955323612589,0.00010202955323612589
3.464495,-8.301844007359903e-06,-0.00010583420673135308,0.00011413605073871299,-0.00010004965232511484,0.00010004965232511484
3.5,-7.871278023983462e-06,-0.00010551436469341321,0.00011338564271739668,-9.863878557858547e-05,9.863878557858547e-05
3.515505,-7.690327067386218e-06,-0.0001053683382752799,0.00011305866534266612,-9.802891723075465e-05,9.802891723075465e-05
3.564495,-7.145463367199874e-06,-0.00010488315646871589,0.00011202861983591577,-9.612664934488612e-05,9.612664934488612e-05
3.6,-6.774871790358487e-06,-0.00010451028392495728,0.00011128515571531578,-9.477110347476874e-05,9.477110347476874e-05
3.615505,-6.619125858433107e-06,-0.00010434220061325277,0.00011096132647168588,-9.418514840689927e-05,9.418514840689927e-05
3.664495,-6.1501573248944225e-06,-0.00010379150357801114,0.00010994166090290556,-9.235746951171714e-05,9.235746951171714e-05
3.7,-5.831186198218785e-06,-0.00010337491950690302,0.00010920610570512182,-9.105507535542108e-05,9.105507535542108e-05
3.715505,-5.697134432107956e-06,-0.0001031886911719168,0.00010888582560402475,-9.049209591439401e-05,9.049209591439401e-05
3.764495,-5.293489473975844e-06,-0.00010258424015750383,0.00010787772963147969,-8.873608133374044e-05,8.873608133374044e-05
3.8,-5.0189484805730974e-06,-0.00010213192721700465,0.00010715087569757775,-8.74847547827568e-05,8.74847547827568e-05
3.815505,-4.903569056049558e-06,-0.00010193090421307355,0.00010683447326912311,-8.69438500813578e-05,8.69438500813578e-05
3.864495,-4.5561486204052655e-06,-0.00010128277003435503,0.00010583891865476031,-8.52566898172674e-05,8.52566898172674e-05
3.9,-4.319848997163145e-06,-0.00010080156145832027,0.00010512141045548342,-8.405442848215074e-05,8.405442848215074e-05
3.915505,-4.220541006007125e-06,-0.00010058861116769112,0.00010480915217369824,-8.353473295745846e-05,8.353473295745846e-05
3.964495,-3.921513465413481e-06,-9.990541070231195e-05,0.00010382692416772542,-8.191372719356204e-05,8.191372719356204e-05
