,A,T,Tc
1.964495,739.0788995131818,363.18711382426113,362.18005702210206
2.0,737.8597449664118,363.500620762363,362.5996591032065
2.015505,737.3452294140637,363.5881980879111,362.67734598920896
2.064495,735.7794805290617,364.1723983162887,363.24475662728696
2.1,734.7011888199573,364.45376235337403,363.54257914327667
2.115505,734.2440647329169,364.5243408750721,363.53085117276026
2.164495,732.857834452221,364.9196440177335,363.9865187982594
2.2,731.9031987128748,365.24764742024365,364.25272725050456
2.215505,731.4972776720766,365.4343543440258,364.4027253012683
2.264495,730.2700216071663,365.796644442773,364.88051129626473
2.3,729.4250839975888,366.0684857702721,365.1659926965374
2.315505,729.0671311221442,366.1968056375633,365.229939966424
2.364495,727.980644710393,366.42713064733135,365.60924813908144
2.4,727.2297282910409,366.7286065457417,365.71536387918735
2.415505,726.9136039109062,366.71223829383155,365.89109198049937
2.464495,725.9505560225581,367.1759604614873,366.20338748436035
2.5,725.2850903021609,367.22455177133526,366.37753242020665
2.515505,725.0066287552113,367.45786264615725,366.5108638618478
2.564495,724.1531634708618,367.6492986205559,366.8551404270445
2.6,723.5652060523299,367.8864341897003,366.8168520408592
2.615505,723.3147620446633,367.9759365033522,366.94807912747206
2.664495,722.558430212512,368.2577967487878,367.2504964970862
2.7,722.0376766782372,368.3812512020878,367.45980115361556
2.715505,721.8179989455969,368.36865312756544,367.4456861472414
2.764495,721.1440380794669,368.6109632621184,367.6129407306206
2.8,720.6847941809175,368.8473108569254,367.746058844377
2.815505,720.4878923653472,368.78633008125536,367.9714734736604
2.864495,719.8909954852974,369.08042103966994,368.2207424571146
2.9,719.4788178684253,369.16748585689777,368.2299486609225
2.915505,719.3053946538448,369.25677326317617,368.35174594594133
2.964495,718.7768200920968,369.4660978639806,368.5550613496042
3.0,718.4128458977356,369.7053199406784,368.6224205558504
3.015505,718.2581136639163,369.5515498696964,368.5624184854419
3.064495,717.7892200299291,369.6265171109618,368.6271401269729
3.1,717.4653940483196,369.80676450598094,368.85091046385855
3.115505,717.328388308957,369.95332999272887,369.0062932823854
3.164495,716.9104518932289,370.0705706282857,368.96292518939725
3.2,716.6250497790118,370.17412683207624,369.22482287310675
3.215505,716.5009041916334,370.12079814481115,369.32262941273257
3.264495,716.1304815969543,370.37880247501977,369.36327485023327
3.3,715.8729565986106,370.3669007464174,369.4642572063046
3.315505,715.7646863248066,370.3593541907632,369.5078211921558
3.364495,715.4341993972682,370.69395149384565,369.51526360504715
3.4,715.2054391093327,370.56026573216934,369.713483090054
3.415505,715.1089319973215,370.79437215485507,369.7500539750937
3.464495,714.8156205695457,370.93714236928173,369.96875576878114
3.5,714.6109291416827,370.7804647525441,369.89094104148614
3.515505,714.5261511814222,370.9432832265654,369.97679660471357
3.564495,714.264205438929,370.9233007934841,370.08883640542865
3.6,714.0814580777765,371.0729841197018,370.06509680265617
3.615505,714.0075431478627,371.15117196353197,370.09778442631284
3.664495,713.7716689107195,371.2775912192118,370.2879360529113
3.7,713.6108968269997,371.2228786496965,370.2918823721729
3.715505,713.5432202876476,371.33840971933455,370.3496031209256
3.764495,713.3337307868361,371.32852405047527,370.3857452016833
3.8,713.1918131206122,371.38467263888174,370.5297891406908
3.815505,713.1296801123804,371.4806010777962,370.54959697814314
3.864495,712.9442674154296,371.5194244205387,370.47852951164595
3.9,712.8148374010623,371.57628175224573,370.5252970821205
3.915505,712.7595549270635,371.61204698283103,370.66373026627474
3.964495,712.5955474014886,371.6868775826318,370.6298876816035
4.0,712.4809498588858,371.66035644541114,370.70709018634835
4.015505,712.4308064929393,371.7222249466923,370.7525504674673
4.064495,712.2844119577155,371.6882924031205,370.6553891696306
4.1,712.1804292411754,371.8132004506888,370.8014527018847
4.115505,712.1375043939016,371.79381043921256,370.86469975842425
4.164495,712.0034339481539,371.8370073837635,370.8969217911874
4.2,711.913976191343,371.92360661448794,370.99667046652684
4.215505,711.8735292001095,371.847578539135,370.9615790903154
4.264495,711.7527215621617,371.95795700055504,371.0078942988672
4.3,711.6726350123048,372.0265350427205,370.9931362790772
4.315505,711.6380159817174,371.96528782853295,371.08415141938656
4.364495,711.5329603661197,372.0427520815395,371.1235438083059
4.4,711.4605856569395,372.1421350486487,371.08906080236073
4.415505,711.4282841991503,372.1267848647459,370.9925694029046
4.464495,711.3340157039518,372.156119329624,371.12411027236317
4.5,711.2653704114167,372.3333494552684,371.32426793587456
4.515505,711.2380483067773,372.22116562812346,371.2447634760754
4.564495,711.1532211641359,372.1376911440792,371.2185549156216
4.6,711.094217624889,372.26122636962907,371.2495337527704
4.615505,711.067048489974,372.3161852544372,371.25492458949674
4.664495,710.991364531772,372.3120711068548,371.26423612594544
4.7,710.9394977721972,372.2355102439757,371.2320467510864
4.715505,710.9186947130077,372.20247876121994,371.3414116880512
4.764495,710.8481592142061,372.30076369437944,371.28329472917255
4.8,710.8008255336936,372.3208379315412,371.3342391333593
4.815505,710.7799537096705,372.41401230901613,371.3668454808617
4.864495,710.7189242122422,372.444487948389,371.43836557735057
4.9,710.6758727246299,372.3403208325515,371.4496866401532
4.915505,710.6582728705299,372.2969633939868,371.4606710415109
4.964495,710.6018860035736,372.44572657270925,371.4582218517528
5.0,710.5646140297988,372.46119469248214,371.42365973800736
