,A,B,C,D,E,F,G,H
4.0,0.0,0.04492249931692471,0.06098954930265893,0.1572727036870827,0.018922055743650974,0.21850569402293732,0.5250939589788916,0.2702071895911499
4.06202,0.011934342930002471,0.06609676147634279,0.034359880547093165,0.16495180795859415,0.04431106606570127,0.23337355857195652,0.5021610079021074,0.26041234792796847
4.25798,0.0316803411445667,0.042659703121817605,0.014550163068207125,0.16913677510405464,0.031086863637441738,0.23892210222647675,0.5122830611722693,0.27454046710023405
4.4,0.003361082470054918,0.07490150263861386,0.05004991664596773,0.20038270851912524,0.04564670034355227,0.19927650238713657,0.5007390663645637,0.29262203502075873
4.46202,0.038973419350534104,0.019459116458461156,0.0,0.1836952039380859,0.03625635844672071,0.20061792484914945,0.5013268437895054,0.2935350766405819
4.65798,0.005093744832182802,0.032700205619503764,0.031235214518566166,0.1351666009608775,0.031559401678484145,0.18238288495899788,0.52389220689316,0.28717550802332126
4.8,0.030743322968199042,0.07533011321354274,0.034600224025232024,0.15434733484448432,0.03417359115451075,0.18929519754848376,0.5091497617151719,0.3029834932339481
4.86202,0.011808209814797703,0.04366860937566387,0.030236776798745493,0.20586154989124233,0.053366284539531475,0.21174487013439824,0.5233204633244709,0.30322028298344983
5.05798,0.017367531395673562,0.0797594725763503,0.02510400536221391,0.1812018530160124,0.06168151356272003,0.17357615847153723,0.5067426443366341,0.29160855814791103
5.2,0.00523440155150698,0.029977204588165822,0.005500974049370661,0.13706885911902605,0.02475841712326428,0.20746926048081876,0.5255842620929991,0.2991297148186106
5.26202,0.004530858957659465,0.06344149812542506,0.04167944188690929,0.1344979567508009,0.05787757679679104,0.19421522268436314,0.5081604655409546,0.32942195579285005
5.45798,0.0032316677147061173,0.03436695782653414,0.01532874385026149,0.2036783504257083,0.10204862996576033,0.1742948491252361,0.4684297329803114,0.285906901720748
5.6,0.0006151749893328878,0.025590434065589925,0.06770480174756982,0.15577065388324576,0.03282793703810849,0.2130603194116541,0.5115128732962422,0.28619477503582275
5.66202,0.006396534195681373,0.04797119785302652,0.020745064115903274,0.16557208160132494,0.06500482576974426,0.1904794915285891,0.47175946325385637,0.28373357094280544
5.85798,0.011424623388750527,0.03357800196656141,0.0,0.16744118735460997,0.026757385510328482,0.19566937693519548,0.4991448236791842,0.34027230936330816
6.0,0.0,0.061832352972647484,0.005016441935414376,0.1609238985534937,0.05904873753465544,0.16335238364223842,0.4567603837117859,0.3896724236122163
6.06202,0.0017517278962517076,0.035190477688413366,0.0,0.11614293730267448,0.0,0.20918976286583946,0.5142400693016212,0.35062418095734027
6.25798,0.0,0.04100395859790611,0.03551920576404047,0.16462869411084133,0.034002971087012404,0.16299643729878513,0.5125424020425796,0.34990628753847286
6.4,0.02087075457790761,0.07612675928943254,0.008890126887095666,0.15773306660354375,0.031542408799266286,0.1832482824085296,0.5029533806345889,0.3314447888912787
6.46202,0.0,0.09580815622204777,0.0018011959903316815,0.1529373039068366,0.06105895463318327,0.17750566706459137,0.4786231032150344,0.29958036493168577
6.65798,0.0,0.033090187968564506,0.0678514324369615,0.14992588931361236,0.025699953232387183,0.16832711111337284,0.4424609752931171,0.3456750549407914
6.8,0.015408105131174321,0.0,0.027462110231391466,0.15126849817383653,0.03140857276656638,0.15103214187875233,0.4472446653200145,0.3637845009117122
6.86202,0.006868737676343602,0.046870933793236216,0.0,0.15735575596878254,0.007340545691021182,0.18485766033175358,0.46510542977177727,0.31931058420275
7.05798,0.0,0.0190573111597777,0.015528921288068483,0.1464226077622982,0.04725893651681759,0.17241474539436508,0.4756927971546229,0.33741562866686925
7.2,0.010744061778615515,0.0727320578991304,0.0,0.16227263200258807,0.025338146193892814,0.18623593561369206,0.4286613369607028,0.3510865998451233
7.26202,0.0,0.0,0.012462198605014914,0.1253968413625091,0.060534825471047174,0.1288247161384821,0.4415316413698761,0.36033592728845226
7.45798,0.005040865732986087,0.0654512041227486,0.0,0.17915473181871808,0.043728701093119104,0.1584170294600351,0.5112989718597751,0.33536613132263104
7.6,0.011852672160141381,0.023481875747113808,0.040824244691369097,0.1572141162220122,0.09591540186499614,0.13382313243925212,0.4076185895607024,0.3519897709730456
7.66202,0.0,0.008023609911943157,0.021532962601196443,0.1224611573747492,0.047035701211076385,0.13551681380258707,0.4548567793617956,0.34190924310850696
7.85798,0.0009626239858226422,0.03734024611517042,0.03456567481517161,0.11328123577248986,0.04677705045507495,0.1514037556723242,0.45104630790693573,0.37362507777540716
8.0,0.0,0.024381192463295065,0.01846045755798607,0.12603130007074895,0.034412289315627155,0.1672600265289397,0.4596723142802954,0.37869308973125104
8.06202,0.022017971831934918,0.02929363692966726,0.013044036286257244,0.12625919971771218,0.07195630583101045,0.1328482064251839,0.43912384624033574,0.35498406002331356
8.25798,0.026506280452350782,0.03904159049005506,0.006316122880343278,0.1057997705512257,0.0,0.12882169740636856,0.43542734316586784,0.3326358188081429
8.4,0.0059853229859558885,0.053156462821951134,0.02739339579791856,0.15000441622639732,0.029473045342270594,0.13710090989990623,0.43184263190901445,0.35961837680082304
8.46202,0.0,0.038147189769215814,0.0061839704404525,0.14854725189856927,0.017435485152696606,0.12035456521630192,0.41084240419596196,0.37343711403245067
8.65798,0.022816336773880827,0.03574326695932278,0.0,0.11453065772712115,0.06028572148411773,0.13554960174745365,0.4610538463488702,0.3503855546096359
8.8,0.0,0.02563622846255535,0.016534449333200037,0.1063892172417939,0.04072785549313529,0.14674522437789167,0.42013447030307954,0.3941827261839996
8.86202,0.0,0.047725121613729486,0.017428310490882688,0.11675160295771754,0.05027386100887445,0.14019134241529152,0.4176580332513945,0.37362527003124896
9.05798,0.012515990353089196,0.016864588189983234,0.0,0.1195813453174428,0.030967461602019037,0.14306172611105344,0.41748663401493524,0.3340755695235341
9.2,0.0,0.046647625115607015,0.009108792552429554,0.13963676613437195,0.08271306447057519,0.1224764679329802,0.42604956701817637,0.3730116620305967
9.26202,0.016059254960123285,0.030240744491651848,0.0,0.13880664010609867,0.0615248778716167,0.12246657041504655,0.43101796156513744,0.37136987423791856
9.45798,0.0,0.028261737269460633,0.013213243056829154,0.10970918298437876,0.017118856710402107,0.12061574380959428,0.43421528163222317,0.3698271112620026
9.6,0.0,0.028734545092217793,0.0,0.10037334496172048,0.0319823150927596,0.13271584616927415,0.42935286774289666,0.3671345112234666
9.66202,0.01578443541897892,0.029116540491769864,0.016436633343533517,0.07344759592357065,0.060397159746564504,0.14498344242354572,0.41090840246656773,0.3925603341576414
