,A,B,C,D,E
1.164495,0.00017434088922293515,0.0007129531292298397,0.0001127059815468238,0.0006276340777315717,0.0003723659222687293
1.2,0.00016529889128314644,0.0007169180420575742,0.00011778306665887655,0.0006187833918103194,0.00038121660818998045
1.215505,0.00016149887400374,0.0007184924035358462,0.0001200087224600111,0.0006149575498495233,0.0003850424501507766
1.264495,0.00015005659420282204,0.0007228727661509395,0.00012707063964583485,0.0006030241935369419,0.0003969758064633575
1.3,0.000142274074441215,0.0007255125131102121,0.0001322134124481678,0.0005945205479745436,0.0004054794520257541
1.315505,0.00013900336925322867,0.0007265317770180995,0.00013446485372826673,0.0005908447194227429,0.0004091552805775548
1.364495,0.00012915490774489073,0.0007292478111357167,0.00014159728111898685,0.0005793792767039665,0.0004206207232963305
1.4,0.0001224564308990512,0.0007307622814113638,0.00014678128768917794,0.0005712090638533154,0.00042879093614698054
1.415505,0.00011964130885087157,0.0007313104177287068,0.00014904827342001464,0.0005676773666006086,0.00043232263339968737
1.464495,0.00011116465946204664,0.0007326148251723426,0.00015622051536520298,0.000556661490321196,0.0004433385096790993
1.5,0.00010539922700203534,0.000733175761937921,0.00016142501105963442,0.0005488116360986592,0.00045118836390163435
1.515505,0.00010297622899681729,0.0007333249126309669,0.00016369885837180667,0.0005454184186759733,0.0004545815813243203
1.564495,9.568030924323625e-05,0.000733434782540403,0.00017088490821595128,0.0005348344810836992,0.00046516551891659364
1.6,9.071795552970544e-05,0.0007331897094736643,0.00017609233499621922,0.0005272924240477963,0.00047270757595249484
1.615505,8.863246181653342e-05,0.000733001838650148,0.0001783656995329075,0.0005240322565833302,0.0004759677434169609
1.664495,8.235280547957677e-05,0.0007321036162287796,0.000185543578291232,0.0005138633211200204,0.0004861366788802701
1.7,7.808166804990608e-05,0.0007311792169760403,0.00019073911497364052,0.0005066169923704365,0.0004933830076298527
1.715505,7.628666697342412e-05,0.000730707531135201,0.00019300580189096183,0.0005034846579007077,0.0004965153420995816
1.764495,7.08817166666551e-05,0.0007289612941284354,0.0002001569892044957,0.0004937144521001324,0.0005062855479001561
1.8,6.720551460685586e-05,0.0007274663209200542,0.00020532816447267458,0.0004867522559649023,0.0005132477440353846
1.815505,6.566054286025168e-05,0.0007267564913225525,0.0002075829658167806,0.00048374274208649236,0.0005162572579137944
1.864495,6.100845901185432e-05,0.0007242996306580265,0.00021469191032970336,0.00047435563153494975,0.0005256443684653364
1.9,5.7844322571151224e-05,0.0007223274076627888,0.0002198282697656428,0.0004676664270149098,0.0005323335729853749
1.915505,5.6514553063445235e-05,0.0007214186223846455,0.00022206682455149223,0.00046477491786354964,0.0005352250821367353
1.964495,5.251046738195132e-05,0.0007183690099729117,0.00022912052264471925,0.00045575588118146706,0.0005442441188188171
2.0,4.9787069904737546e-05,0.0007159995878432165,0.00023421334225162682,0.000449328964122279,0.0005506710358780034
2.015505,4.864252668088163e-05,0.000714925457238412,0.00023643201608028724,0.0004465508326664383,0.0005534491673338444
2.064495,4.519617819121121e-05,0.0007113841723716349,0.00024341964943673435,0.00043788543747096104,0.0005621145625293209
2.1,4.28521282559795e-05,0.000708686182568042,0.0002484616891755573,0.0004317105234341817,0.0005682894765660985
2.115505,4.1867010772323e-05,0.0007074755185597437,0.00025065747066751207,0.00042904132407083155,0.0005709586759294488
2.164495,3.890071113314489e-05,0.0007035291943952009,0.0002575700944712324,0.00042071570388093097,0.0005792842961193486
2.2,3.6883168653638356e-05,0.0007005614451108484,0.00026255538623509006,0.0004147829116867167,0.0005852170883135612
2.215505,3.6035270176430744e-05,0.0006992389318868746,0.0002647257979362716,0.0004122183731274164,0.0005877816268728617
2.264495,3.348215241258278e-05,0.0006949617749373842,0.00027155607264960936,0.0004042192051745621,0.0005957807948257152
2.3,3.1745637505014905e-05,0.0006917746246174804,0.0002764797378770796,0.00039851904108967253,0.0006014809589106033
2.315505,3.1015844521357245e-05,0.0006903613958574489,0.0002786227596207688,0.0003960550595255965,0.0006039449404746795
2.364495,2.881835569386908e-05,0.0006858169240391512,0.00028536472026655427,0.00038836954343448405,0.0006116304565657912
2.4,2.7323723459437498e-05,0.0006824534634768629,0.00029022281306327234,0.00038289288598028357,0.00061710711401999
2.415505,2.6695584816294815e-05,0.0006809675991313235,0.00029233681605195445,0.0003805255185152519,0.0006194744814850217
2.464495,2.4804188651451535e-05,0.0006762101375743784,0.0002989856737737422,0.0003731413558204717,0.0006268586441798014
2.5,2.3517746763468715e-05,0.0006727072072489402,0.0003037750459871616,0.0003678794411766181,0.0006321205588236533
2.515505,2.2977102822180536e-05,0.0006711641610771446,0.00030585873610024553,0.0003656048995176216,0.0006343951004826498
2.564495,2.134916305400753e-05,0.0006662401294438299,0.0003124107075017325,0.0003585102739834902,0.0006414897260167805
2.6,2.024191225810442e-05,0.0006626291950523219,0.0003171288926891423,0.0003534546819639518,0.000646545318036317
2.615505,1.977657570471358e-05,0.0006610421625642714,0.0003191812617305836,0.00035126932635907467,0.0006487306736411943
2.664495,1.8375394958944865e-05,0.0006559911829185709,0.00032563342212205224,0.000344452885071137,0.0006555471149291312
2.7,1.742237536553713e-05,0.0006522990888558235,0.000330278535778206,0.00033959552565009907,0.0006604044743501675
2.715505,1.7021856481693312e-05,0.0006506793239606599,0.0003322988195572135,0.0003374958590641397,0.0006625041409361271
2.764495,1.5815849035535562e-05,0.0006455351741877665,0.000338648976776264,0.0003309466942620837,0.0006690533057381823
2.8,1.499557746853412e-05,0.00064178479197717,0.0003432196305538605,0.00032627979462818087,0.0006737202053720838
2.815505,1.4650847669968813e-05,0.0006401418794835394,0.00034520727284605656,0.0003242624571466489,0.0006757375428536158
2.864495,1.3612827439830692e-05,0.000634933313775569,0.0003514538587841644,0.0003179700887695617,0.0006820299112307023
2.9,1.2906813158188174e-05,0.0006311441000851754,0.00035594908675619884,0.00031348618088772144,0.000686513819112541
2.915505,1.261010147039365e-05,0.0006294861902038574,0.0003579037083253114,0.0003115479443402583,0.0006884520556600042
