,state,fe,cp,T
C,1,24,3,727.0784501329
C,2,24,3,366.9961526581
C,3,24,3,365.5418915923
C,1,25,1,726.911751627
C,2,25,1,366.6595733178
C,3,25,1,365.9689979563
C,1,25,2,725.9464475498
C,2,25,2,367.239788114
C,3,25,2,366.1646756851
C,1,25,3,725.1573704582
C,2,25,3,367.1015346133
C,3,25,3,366.268445739
C,1,26,1,725.027817207
C,2,26,1,367.4295620962
C,3,26,1,366.7366758072
C,1,26,2,723.8309993432
C,2,26,2,367.8885473885
C,3,26,2,366.481847169
C,1,26,3,723.8923456401
C,2,26,3,367.7934026942
C,3,26,3,367.2194744494
C,1,27,1,723.2228812709
C,2,27,1,368.1647528749
C,3,27,1,366.9580497136
C,1,27,2,722.475205907
C,2,27,2,368.2497999712
C,3,27,2,367.4111895346
C,1,27,3,722.0592983061
C,2,27,3,368.3667683009
C,3,27,3,367.5957550935
C,1,28,1,722.0474244866
C,2,28,1,368.2881400098
C,3,28,1,367.4328568937
C,1,28,2,721.1521808702
C,2,28,2,368.4358431288
C,3,28,2,367.9312621195
C,1,28,3,720.623795182
C,2,28,3,369.1596647146
C,3,28,3,367.398010608
C,1,29,1,720.2306207951
C,2,29,1,368.7511445946
C,3,29,1,367.8349158123
C,1,29,2,720.0683939728
C,2,29,2,368.9747379117
C,3,29,2,368.8353980572
C,1,29,3,719.6301111161
C,2,29,3,369.5074616112
C,3,29,3,368.4546811868
C,1,30,1,719.6938374514
C,2,30,1,369.3842916487
C,3,30,1,368.195488376
C,1,30,2,718.5038717835
C,2,30,2,369.5557737434
C,3,30,2,368.2617517827
C,1,30,3,718.458181749
C,2,30,3,369.5097045704
C,3,30,3,368.5640743415
C,1,31,1,718.3784982023
C,2,31,1,369.8892489092
C,3,31,1,368.4872294368
C,1,31,2,717.235863684
C,2,31,2,369.467502095
C,3,31,2,368.8713280977
C,1,31,3,717.6983154078
C,2,31,3,370.2107005825
C,3,31,3,368.8198161611
C,1,32,1,716.8658328582
C,2,32,1,369.8851113728
C,3,32,1,369.0689992578
C,1,32,2,716.8122895015
C,2,32,2,370.0854576952
C,3,32,2,368.9629879482
C,1,32,3,716.6925996547
C,2,32,3,369.9724263482
C,3,32,3,369.6289902946
C,1,33,1,716.102387434
C,2,33,1,369.8929470627
C,3,33,1,369.2898253825
C,1,33,2,716.3576155965
C,2,33,2,370.1725541283
C,3,33,2,369.5130301992
C,1,33,3,715.7358050061
C,2,33,3,370.3198932691
C,3,33,3,369.65555275
C,1,34,1,715.5559287576
C,2,34,1,370.6558187597
C,3,34,1,369.2532013331
C,1,34,2,715.5733856337
C,2,34,2,370.6573788928
C,3,34,2,370.10718271
C,1,34,3,715.159764283
C,2,34,3,370.4749580578
C,3,34,3,369.646938168
C,1,35,1,714.6332092985
C,2,35,1,370.7701029352
C,3,35,1,369.799511352
C,1,35,2,714.6330289673
C,2,35,2,370.7330100099
C,3,35,2,370.1537318738
C,1,35,3,714.4884251677
C,2,35,3,371.2681002667
C,3,35,3,369.8955167704
C,1,36,1,714.5418087939
C,2,36,1,371.3616466213
C,3,36,1,370.1726455234
C,1,36,2,714.4350937812
C,2,36,2,371.5181887875
C,3,36,2,370.2056115648
C,1,36,3,713.7960816804
C,2,36,3,371.4592783984
C,3,36,3,369.8340602942
C,1,37,1,713.9549942802
C,2,37,1,371.6313633819
C,3,37,1,369.737896707
C,1,37,2,714.1170754436
C,2,37,2,371.2586722005
C,3,37,2,370.4934254586
C,1,37,3,713.4706102707
C,2,37,3,371.1971814925
C,3,37,3,369.6874309908
C,1,38,1,713.2354740889
C,2,38,1,371.2019071493
C,3,38,1,370.1222874877
C,1,38,2,712.802620269
C,2,38,2,371.3894082907
C,3,38,2,370.3730696748
C,1,38,3,712.6412272119
C,2,38,3,371.2726216052
C,3,38,3,370.5281025401
C,1,39,1,712.9867087015
C,2,39,1,371.5258093959
C,3,39,1,370.046022751
C,1,39,2,713.0142945946
C,2,39,2,371.1612869441
C,3,39,2,370.788509124
C,1,39,3,712.9654460954
C,2,39,3,372.1486501685
C,3,39,3,370.2810257721
C,1,40,1,713.3978184499
C,2,40,1,371.4045055656
C,3,40,1,370.4196250517
C,1,40,2,712.3806647378
C,2,40,2,371.1989379879
C,3,40,2,370.7175745739
C,1,40,3,712.800131226
C,2,40,3,372.3096105552
C,3,40,3,370.8174266545
C,1,41,1,712.4662268686
C,2,41,1,371.9565235739
C,3,41,1,371.0175476917
C,1,41,2,712.2982607003
C,2,41,2,371.5663191291
C,3,41,2,370.8048117751
C,1,41,3,712.3307941722
C,2,41,3,371.5030703054
C,3,41,3,370.6739353781
C,1,42,1,711.9577519383
C,2,42,1,371.9745577696
C,3,42,1,371.1021545867
C,1,42,2,711.720969401
C,2,42,2,372.3255535998
C,3,42,2,371.011676492
C,1,42,3,711.7226663617
C,2,42,3,371.58724442
C,3,42,3,370.8385099087
C,1,43,1,711.8874274803
C,2,43,1,372.1534699636
C,3,43,1,370.6748328128
C,1,43,2,712.034127915
C,2,43,2,371.7279590883
C,3,43,2,371.0029802997
C,1,43,3,711.8158646129
C,2,43,3,372.0819690019
C,3,43,3,371.2832797712
C,1,44,1,711.7059939787
C,2,44,1,371.7186901501
C,3,44,1,370.805445525
C,1,44,2,711.4384568631
C,2,44,2,372.323678158
C,3,44,2,371.4132819937
C,1,44,3,711.2995220694
C,2,44,3,372.4579396759
C,3,44,3,371.1924023696
C,1,45,1,711.8852105272
C,2,45,1,372.049593707
C,3,45,1,371.0040263974
C,1,45,2,711.281590291
C,2,45,2,372.2093267507
C,3,45,2,371.1878082189
C,1,45,3,711.5000531578
C,2,45,3,372.4344059081
C,3,45,3,371.7314467287
C,1,46,1,711.3747235662
C,2,46,1,371.9600345819
C,3,46,1,370.8589672015
C,1,46,2,710.9524731752
C,2,46,2,371.7373815522
C,3,46,2,370.4584127095
C,1,46,3,711.1970237302
C,2,46,3,372.3908045504
C,3,46,3,371.1598923147
C,1,47,1,711.1781677988
C,2,47,1,372.0752085511
C,3,47,1,371.2547838786
C,1,47,2,710.5560952986
C,2,47,2,372.0577312357
C,3,47,2,371.3549257512
C,1,47,3,710.8739255022
C,2,47,3,371.847899276
C,3,47,3,370.909022423
C,1,48,1,711.0396020144
C,2,48,1,372.2073362797
C,3,48,1,371.1913168935
