,A2
0.0,0.0010293695683643602
0.005163,0.0010281867350790605
0.021477,0.0010244583888967707
0.0333,0.001021764741628105
0.038479,0.0010205871231590128
0.054841,0.0010168752409663482
0.0667,0.0010141935137976154
0.071863,0.0010130281190912603
0.088177,0.001009354740130506
0.1,0.0010067008054579659
0.105179,0.0010055405486854843
0.121541,0.001001883390984812
0.1334,0.0009992412006734883
0.138563,0.0009980929874481086
0.154877,0.0009944737653239909
0.1667,0.0009918589577624954
0.171863,0.0009907192273628214
0.188177,0.000987126743504551
0.2,0.0009845312537459755
0.205179,0.0009833965481326637
0.221541,0.0009798199283101024
0.2334,0.0009772359242785772
0.238563,0.0009761129969895338
0.254877,0.0009725734773267659
0.2667,0.0009700162530225175
0.271879,0.0009688982764391227
0.288241,0.0009653743869276758
0.3001,0.0009628284790157449
0.305263,0.0009617221071081084
0.321577,0.0009582347707866721
0.3334,0.0009557152477869631
0.338563,0.000954617049587703
0.354877,0.0009511554771797443
0.3667,0.0009486545680350194
0.371879,0.0009475612115170343
0.388241,0.0009441149250534125
0.4001,0.0009416250830915648
0.405263,0.0009405430756913233
0.421577,0.0009371325374438488
0.4334,0.000934668499346038
0.438579,0.0009335912622458867
0.454941,0.0009301957845811957
0.4668,0.0009277426505021499
0.471963,0.0009266765951990486
0.488277,0.0009233163387125046
0.5001,0.0009208886280696492
0.505263,0.0009198304486219456
0.521577,0.0009164950172022727
0.5334,0.0009140852421185905
0.538579,0.0009130317279194923
0.554941,0.0009097110254186496
0.5668,0.0009073119142255768
0.571963,0.0009062693355781429
0.588277,0.0009029830786151319
0.6001,0.0009006088309836761
0.605279,0.00089957084880482
0.621641,0.0008962991036113444
0.6335,0.0008939353626521472
0.638663,0.0008929081548014902
0.654977,0.0008896703473133069
0.6668,0.0008873311033508125
0.671963,0.000886311484356448
0.688277,0.0008830975973004496
0.7001,0.0008807756353186697
0.705279,0.0008797605115695134
0.721641,0.0008765608167050547
0.7335,0.0008742491300177371
0.738663,0.0008732445433246679
0.754977,0.0008700780387898086
0.7668,0.0008677903096266592
0.771979,0.00086679015190514
0.788341,0.0008636376303255273
0.8002,0.0008613600249675847
0.805363,0.0008603702489537308
0.821677,0.0008572504283767849
0.8335,0.0008549964273358579
0.838663,0.0008540139636375459
0.854977,0.0008509171918233234
0.8668,0.0008486798430012946
0.871979,0.0008477017107397803
0.888341,0.0008446186139483503
0.9002,0.0008423911659852251
0.905363,0.0008414231868055482
0.921677,0.0008383720708757405
0.9335,0.0008361677074156763
0.938679,0.000835203995814176
0.955041,0.000832166353295516
0.9669,0.000829971744725425
0.972063,0.0008290180365182946
0.988377,0.0008260119033655801
1.0002,0.000823840038962398
1.005363,0.0008228933766073065
1.021677,0.000819909452311814
1.0335,0.000817753633314469
1.038679,0.0008168111445570046
1.055041,0.0008138403969613788
1.0669,0.0008116941180319504
1.072063,0.0008107614123742382
1.088377,0.0008078214802457217
1.1002,0.0008056974446114613
1.105379,0.0008047688510197871
1.121741,0.0008018419013262957
1.1336,0.0007997272651101837
1.138763,0.0007988083103854612
1.155077,0.0007959117218448806
1.1669,0.0007938190009897609
1.172063,0.0007929068353636038
1.188377,0.0007900316463812133
1.2002,0.0007879543862313636
1.205379,0.000787046242115381
1.221741,0.0007841837496690045
1.2336,0.0007821156819434417
1.238763,0.0007812169644274116
1.255077,0.0007783841645210416
1.2669,0.0007763375295366838
1.272079,0.0007754427742414729
1.288441,0.0007726224836853585
1.3003,0.0007705849056008492
1.305463,0.0007696994379286872
1.321777,0.0007669084021537593
1.3336,0.0007648919408263227
1.338763,0.0007640130148554448
1.355077,0.0007612425988308332
1.3669,0.000759241034814806
1.372079,0.0007583659838087734
1.388441,0.000755607801653673
1.4003,0.0007536150950865668
1.405463,0.0007527491271716721
1.421777,0.0007500195555493573
1.4336,0.000748047500706381
1.438779,0.0007471853506275027
1.455141,0.0007444678325100593
1.467,0.0007425045045301267
1.472163,0.0007416513036298529
1.488477,0.0007389619742384696
1.5003,0.0007370189935131138
1.505463,0.0007361720959320919
1.521777,0.0007335026348996406
1.5336,0.0007315740086221162
1.538779,0.0007307308448007768
1.555141,0.0007280731718310737
1.567,0.0007261530802337314
1.572163,0.0007253186685123046
1.588477,0.0007226885634969121
1.6003,0.0007207883710671775
1.605479,0.0007199576380584002
1.621841,0.0007173391473136707
1.6337,0.0007154473637368392
1.638863,0.0007146252537952635
1.655177,0.0007120339245689138
1.667,0.000710161746785121
1.672163,0.0007093457104674955
1.688477,0.0007067735255896759
1.7003,0.0007049151791722873
1.705479,0.0007041027405547502
1.721841,0.0007015419141782799
1.7337,0.0006996917914341476
1.738863,0.0006988877859867414
1.755177,0.0006963535229780552
1.767,0.000694522574268449
1.772179,0.0006937221134800326
1.788541,0.000691199041513659
1.8004,0.0006893761952352227
1.805563,0.0006885840432862263
1.821877,0.0006860871430623826
1.8337,0.000684283188134582
1.838863,0.0006834968884844159
1.855177,0.0006810184349819091
1.867,0.0006792278074003675
1.872179,0.0006784449743487582
1.888541,0.0006759774654395795
1.9004,0.0006741947618575767
1.905563,0.0006734200546682367
1.921877,0.000670978141147823
1.9337,0.0006692139128913842
1.938879,0.0006684426211923396
1.955241,0.0006660114909084869
1.9671,0.0006642550698276074
1.972263,0.0006634917841907788
1.988577,0.0006610858719414068
2.0004,0.0006593476538033073
2.005563,0.000658590007205359
2.021877,0.0006562018694719254
2.0337,0.0006544764930266215
2.038879,0.000653722186703087
2.055241,0.0006513445947379229
2.0671,0.0006496268535386622
2.072263,0.0006488803769679482
2.088577,0.0006465274476860456
2.1004,0.0006448275085646017
2.105579,0.0006440843230224444
2.121941,0.0006417417840319452
2.1338,0.0006400493675896744
2.138963,0.0006393138963658427
2.155277,0.0006369956564552518
2.1671,0.0006353207796337437
2.172263,0.0006345907419601146
2.188577,0.0006322896288554785
2.2004,0.0006306271257706958
2.205579,0.0006299003066506363
2.221941,0.0006276093550225446
2.2338,0.0006259542089525947
2.238963,0.0006252349342662456
2.255277,0.0006229677466040488
2.2671,0.0006213297538975671
2.272279,0.0006206136503134679
2.288641,0.0006183564743165841
2.3005,0.0006167257301600436
2.305663,0.0006160170597816361
2.321977,0.0006137832973971353
2.3338,0.0006121694537110418
2.338963,0.000611466018882243
2.355277,0.0006092487591965067
2.3671,0.0006076468383435621
2.372279,0.0006069465047830417
2.388641,0.0006047390362858585
2.4005,0.0006031442043553851
2.405663,0.0006024511403065995
2.421977,0.0006002665698075399
2.4338,0.0005986882661655786
2.438979,0.0005979982576628956
2.455341,0.0005958233340003348
2.4672,0.000594252014768454
2.472363,0.0005935691686026777
2.488677,0.0005914168053517409
2.5005,0.0005898617707308675
2.505663,0.0005891839693293215
2.521977,0.0005870475074126577
2.5338,0.0005855039611524506
2.538979,0.0005848291480078113
2.555341,0.0005827021204851415
2.5672,0.0005811654048244295
2.572363,0.0005804975962878092
2.588677,0.0005783926323516799
2.6005,0.0005768718426824885
2.605679,0.0005762069783467321
2.622041,0.0005741113097127852
2.6339,0.0005725972499391689
2.639063,0.0005719392869420937
2.655377,0.0005698653566099659
2.6672,0.0005683669880300641
2.672363,0.0005677138859641309
2.688677,0.0005656552775157302
2.7005,0.0005641679786563519
2.705679,0.0005635177559541305
2.722041,0.0005614682381068917
2.7339,0.0005599875209374177
2.739063,0.0005593440475926893
2.755377,0.0005573157893266766
2.7672,0.0005558504177996585
2.772379,0.0005552097813680175
2.788741,0.0005531904796799125
2.8006,0.0005517315928085671
2.805763,0.0005510976062282544
2.822077,0.0005490992506901505
2.8339,0.0005476554832195744
2.839063,0.0005470261804362618
2.855377,0.0005450425884467335
2.8672,0.0005436094873119406
2.872379,0.0005429829589672533
2.888741,0.0005410081263139934
2.9006,0.0005395813670298724
2.905763,0.0005389613420935763
2.922077,0.0005370069943144814
2.9339,0.0005355950214718876
2.939079,0.0005349777300705089
2.955441,0.0005330320124882859
2.9673,0.000531626287998096
2.972463,0.0005310154041249857
2.988777,0.0005290898694072534
3.0006,0.0005276987133612353
3.005763,0.0005270923426058174
3.022077,0.0005251810334474498
3.0339,0.0005238001550519649
3.039079,0.0005231964576335948
3.055441,0.0005212935886180186
3.0673,0.0005199188209738042
3.072463,0.0005193213899772005
3.088777,0.0005174382593593423
3.1006,0.0005160777393332166
3.105779,0.0005154829422604995
3.122141,0.0005136081273519235
3.134,0.0005122536279859121
3.139163,0.0005116650049487459
3.155477,0.0005098096374335587
3.1673,0.0005084691756321856
3.172463,0.0005078849012530213
3.188777,0.0005060432409125155
3.2006,0.0005047126822402606
3.205779,0.0005041309837807464
3.222141,0.0005022974560210837
3.234,0.0005009727854220464
3.239163,0.0005003971250335544
3.255477,0.0004985826163970428
3.2673,0.0004972716742275823
