,Msa,Masa,V
51.5787965,-2.41815676894e-06,0.0,0.0275038758844
52.10511075,-2.41965411013e-06,0.0,0.0275045926212
52.631425,-2.42113247481e-06,0.0,0.0275052952867
53.15773925,-2.42259231313e-06,0.0,0.0275059842815
53.6840535,-2.42403405984e-06,0.0,0.0275066599913
54.21036775,-2.42545813498e-06,0.0,0.0275073227875
54.736682,-2.4268649447e-06,0.0,0.0275079730279
55.26299625,-2.42825488131e-06,0.0,0.0275086110568
55.7893105,-2.42962832439e-06,0.0,0.0275092372063
56.31562475,-2.43098564122e-06,0.0,0.0275098517965
56.841939,-2.43232718723e-06,0.0,0.0275104551362
57.36825325,-2.43365330654e-06,0.0,0.0275110475232
57.8945675,-2.43496433242e-06,0.0,0.0275116292449
58.42088175,-2.43626058773e-06,0.0,0.0275122005788
58.947196,-2.43754551367e-06,0.0,0.0275847839213
59.47351025,-2.43882290213e-06,0.0,0.0277504031469
59.9998245,-2.440093169e-06,0.0,0.0279191792164
60.52613875,-2.4413592034e-06,0.0,0.0281817734961
61.052453,-2.44262104704e-06,0.0,0.0284115425116
61.57876725,-2.44389677745e-06,0.0,0.0293505088797
62.1050815,-2.4452133942e-06,0.162702909433,0.0307451950711
62.63139575,-2.44658929602e-06,0.691954863569,0.0324809110172
63.15771,-2.44798773966e-06,1.4660025826,0.0324387641462
63.68402425,-2.44935336771e-06,2.34861684815,0.0318997385704
64.2103385,-2.45067367571e-06,3.19907885806,0.0312748706031
64.73665275,-2.45194947261e-06,3.97571279526,0.0307043742175
65.262967,-2.45318505598e-06,4.65770931641,0.0302034087156
65.78928125,-2.45438513604e-06,5.22685049902,0.0297853431167
66.3155955,-2.45555510023e-06,5.6457778535,0.0294776179639
66.84190975,-2.45669964717e-06,5.97320610647,0.0292371039375
67.368224,-2.45782161061e-06,6.25545905622,0.0290297736525
67.89453825,-2.45892279672e-06,6.50590548311,0.0288458070046
68.4208525,-2.46000465694e-06,6.7294099697,0.0286816306908
68.94716675,-2.46106847153e-06,6.92841367254,0.0285354515476
69.473481,-2.46211542311e-06,7.10353865072,0.0284068126385
69.99979525,-2.46314664812e-06,7.25413050518,0.0282961946555
70.5261095,-2.46416328338e-06,7.37785861664,0.0282053095664
71.05242375,-2.46516639349e-06,7.47868732547,0.0281312453455
71.578738,-2.46615686557e-06,7.56204456242,0.0280700148798
72.10505225,-2.46713542459e-06,7.63146079102,0.02801902485
72.6313665,-2.46810268177e-06,7.68960494707,0.0279763147763
73.15768075,-2.46905916576e-06,7.73814228085,0.0279406614409
73.683995,-2.47000532061e-06,7.780095733,0.0279098443279
74.21030925,-2.4709415364e-06,7.81527084768,0.0278840062759
74.7366235,-2.47186815531e-06,7.84646382263,0.0278610933241
75.26293775,-2.47278549128e-06,7.87246324971,0.0278419953183
75.789252,-2.4736938321e-06,7.89507955737,0.0278253823995
76.31556625,-2.47459342858e-06,7.91486865454,0.0278108462219
76.8418805,-2.47548450744e-06,7.93251484525,0.0277978841268
77.36819475,-2.47636728143e-06,7.94793284007,0.0277865587638
77.894509,-2.47724195129e-06,7.96157643419,0.0277765367956
78.42082325,-2.47810870734e-06,7.97337372582,0.0277678710379
78.9471375,-2.47896773023e-06,7.98376683631,0.0277602367283
79.47345175,-2.47981918332e-06,7.99328239225,0.0277532470307
79.999766,-2.48066322125e-06,8.00170309005,0.0277470615665
80.52608025,-2.48149999873e-06,8.00889148121,0.0277417812992
81.0523945,-2.48232965338e-06,8.01613427174,0.0277364610725
81.57870875,-2.48315230335e-06,8.02208582482,0.0277320893306
82.105023,-2.48396809735e-06,8.02778431034,0.0277279034808
82.63133725,-2.48477715564e-06,8.03240924315,0.0277245062143
83.1576515,-2.48557960989e-06,8.03702523525,0.0277211155153
83.68396575,-2.48637556622e-06,8.04151051758,0.0277178208297
84.21028,-2.48716512867e-06,8.04540212843,0.0277149622285
84.73659425,-2.48794841406e-06,8.04918615161,0.0277121826563
85.2629085,-2.48872551892e-06,8.05254817786,0.027709713064
85.78922275,-2.48949659739e-06,8.0556254127,0.0277074526666
86.315537,-2.49026172388e-06,8.0583692285,0.0277054371838
86.84185125,-2.49102098416e-06,8.06059426473,0.0277038027731
87.3681655,-2.49177447196e-06,8.06289592759,0.0277021120759
87.89447975,-2.49252227472e-06,8.06506178509,0.0277005211351
88.420794,-2.49326448366e-06,8.06678483794,0.0276992554588
88.94710825,-2.49400118654e-06,8.06849313801,0.0276980006191
89.4734225,-2.49473246657e-06,8.07012412688,0.0276968025687
89.99973675,-2.49545839661e-06,8.07213533431,0.027695325227
90.526051,-2.49617906178e-06,8.07331870049,0.0276944559801
91.05236525,-2.49689454322e-06,8.07467505867,0.027693459661
91.5786795,-2.49760491507e-06,8.07583430311,0.0276926081328
92.10499375,-2.49831024666e-06,8.07746345486,0.0276914114319
92.631308,-2.49901061086e-06,8.07843500707,0.027690697774
93.15762225,-2.49970608137e-06,8.07963537672,0.027689816037
93.6839365,-2.50039672529e-06,8.0806718934,0.0276890546591
94.21025075,-2.50108261021e-06,8.08175358306,0.0276882600992
94.736565,-2.50176380332e-06,8.08257576508,0.0276876561618
95.26287925,-2.5024403713e-06,8.08335421026,0.0276870843516
95.7891935,-2.50311237618e-06,8.08420071954,0.0276864625445
96.31550775,-2.50377988071e-06,8.08480941369,0.0276860154257
96.841822,-2.5044429478e-06,8.08533883804,0.0276856265349
