,B,C,A
7.1,0.0002874230255929308,0.0007201538289385733,-2.6409330919010993e-06
7.2,0.0002737568828468696,0.0007374124524104974,-1.3250833874744613e-05
7.3,0.0002590837061777428,0.0007426210913074728,-1.9193993200274015e-05
7.4,0.0002590432176458186,0.0007441282264451195,-1.4502647412707287e-06
7.5,0.000262151553697141,0.0007425186783553334,1.0042559743408543e-05
7.6,0.0002409925512118006,0.0007543963360380098,-6.015420216910038e-06
7.7,0.0002494072166725483,0.0007466894040435051,-1.0351631842447932e-05
7.8,0.0002373508733566324,0.0007533487975122569,-9.193474225406006e-06
7.9,0.00023156791057241078,0.0007624611328734678,1.9018390634932696e-05
8.0,0.00021437495216116846,0.0007478600979019943,5.789827662553721e-07
8.1,0.00022596440159999582,0.0007894983307218089,2.1508402636493467e-05
8.2,0.00021958528533694478,0.0007845928240791067,6.203181987718012e-06
8.3,0.00022389393212216452,0.0007761968341237825,-1.8260541551594958e-05
8.4,0.0002118595224161184,0.0007741780669608027,9.680854607666839e-06
8.5,0.00022092626750805914,0.0007865965864241045,1.2483509999072308e-05
8.6,0.00020551914503383952,0.0007952723274387586,-1.8964614498947136e-05
8.7,0.00021826213815414038,0.0008060526697295881,-6.378630854186145e-06
8.8,0.00020504728331861103,0.0008090299177844039,-1.580904180985017e-05
8.9,0.00017813890036467723,0.000790239999675919,-1.0633794589843782e-05
9.0,0.00017830107683676534,0.0008172502320491297,2.302320133948846e-05
9.1,0.00019833377167763648,0.0008437695318534243,1.536371613719745e-05
9.2,0.00018899566441841884,0.0008205222335442842,1.4510686727976268e-05
9.3,0.0001806442599218003,0.0008133479396906487,-1.411990939502454e-06
9.4,0.000169659544063056,0.0008139700313986466,3.103020388538705e-06
9.5,0.00017005128554026044,0.0008275021315434496,-9.531062350077796e-06
9.6,0.0001771821448874816,0.0008030329713111664,1.0277086929911488e-05
9.7,0.000158592949398338,0.0008319007068701356,-9.699082916855122e-07
9.8,0.0001764793655291958,0.0008367060600777125,-1.597050768773072e-05
9.9,0.0001538131042744868,0.0008355871751731918,-5.111998113820535e-06
10.0,0.00015601392539658877,0.0008341501757558238,7.4809477460006226e-06
