,B,C
0.571963,9.560000339225893e-05,2.7500229393923108e-05
0.588277,9.746295438124666e-05,2.8923535367945628e-05
0.6001,9.878864853150017e-05,2.9972088849146424e-05
0.605279,9.936291162094719e-05,3.0435807938555847e-05
0.621641,0.00010115197738581533,3.191848736716276e-05
0.6335,0.00010242476218718802,3.3009443524985566e-05
0.638663,0.00010297273311101644,3.348868045181436e-05
0.654977,0.00010467968432272695,3.501953672828627e-05
0.6668,0.00010589385655133375,3.614460846217239e-05
0.671963,0.00010641810577303,3.66399782348407e-05
0.688277,0.0001080508862856177,3.822108477825078e-05
0.7001,0.00010921203697830086,3.938189606734603e-05
0.705279,0.00010971482311055553,3.989423368424801e-05
0.721641,0.00011128040867222898,4.1528342987032316e-05
0.7335,0.00011239344334947795,4.272699499709934e-05
0.738663,0.00011287243617101943,4.3252588868627185e-05
0.754977,0.0001143637175537027,4.492781202080239e-05
0.7668,0.00011542372036638378,4.615553837126939e-05
0.771979,0.00011588257002995833,4.669684642921411e-05
0.788341,0.00011731079049934247,4.842114753944206e-05
0.8002,0.00011832563915314589,4.968390424357965e-05
0.805363,0.00011876223819531343,5.0237081215266134e-05
0.821677,0.00012012097621827543,5.199816376924922e-05
0.8335,0.00012108623819171711,5.328690283673311e-05
0.838663,0.00012150268986099911,5.385291486576329e-05
0.854977,0.0001227984395515002,5.5653936989483903e-05
0.8668,0.00012371867995876915,5.697104540424228e-05
0.871979,0.0001241168223745699,5.755103524995608e-05
0.888341,0.00012535525491350142,5.939569950245381e-05
0.9002,0.00012623445627330004,6.0743946105778754e-05
0.905363,0.00012661248940846063,6.133389215029519e-05
0.921677,0.00012778813224079009,6.320936524777256e-05
0.9335,0.00012862252886624973,6.457933208237557e-05
0.938679,0.0001289833858320944,6.518218671803135e-05
0.955041,0.00013010526028661332,6.709795478217196e-05
0.9669,0.00013090116035184178,6.849666328703283e-05
0.972063,0.00013124322971216538,6.910830213383985e-05
0.988377,0.00013230644527682193,7.105121972189696e-05
1.0002,0.00013306049200353427,7.246903739836528e-05
1.005363,0.00013338547906180194,7.309071269518917e-05
1.021677,0.00013439529521467014,7.506482083781264e-05
1.0335,0.0001351111801704599,7.650475487936634e-05
1.038679,0.00013542056517499022,7.713785863230071e-05
1.055041,0.00013638154297375098,7.914762842916479e-05
1.0669,0.0001370624634003242,8.061298693201867e-05
1.072063,0.00013735489492046376,8.125326106959139e-05
1.088377,0.00013826294616874052,8.328514194983039e-05
1.1002,0.00013890610882072478,8.476601493210482e-05
1.105379,0.0001391839107382224,8.541680660628168e-05
1.121741,0.00014004616925547046,8.748149778252422e-05
1.1336,0.0001406565493360698,8.898575391803548e-05
1.138763,0.00014091852953270105,8.964272844612684e-05
1.155077,0.00014173139863521257,9.172644788419522e-05
1.1669,0.00014230654804541304,9.324401932911295e-05
1.172063,0.00014255407331833687,9.390865968234623e-05
1.188377,0.0001433217624181088,9.601615956496408e-05
1.2002,0.00014386462991960539,9.755055221331555e-05
1.205379,0.0001440988763709735,9.822444987793018e-05
1.221741,0.00014482500321471635,0.00010036081548056298
1.2336,0.0001453381189201378,0.00010191576750070266
1.238763,0.00014555811380176145,0.0001025944901351094
1.255077,0.00014623975837922085,0.00010474564546401939
1.2669,0.0001467211492343846,0.00010631088959321188
1.272079,0.00014692869965740203,0.00010699809446540553
1.288441,0.00014757139507061185,0.00010917568960830938
1.3003,0.00014802490616184607,0.00011075975660158274
1.305463,0.0001482191736126382,0.00011145095682295291
1.321777,0.00014882041382786057,0.00011364075238265782
1.3336,0.0001492443626424273,0.00011523326489552621
1.338763,0.000149426426399642,0.00011593012710918956
1.355077,0.00014998952908517777,0.00011813744044826454
1.3669,0.00015038623372194923,0.00011974229982751864
1.372079,0.0001505570118186499,0.00012044657273685078
1.388441,0.0001510847944711391,0.00012267697223946111
1.4003,0.00015145621923421152,0.00012429825404349325
1.405463,0.0001516150577302433,0.00012500538346235643
1.421777,0.00015210558340896812,0.00012724442940594585
1.4336,0.00015245044507080407,0.00012887162258708466
1.438779,0.00015259871357003495,0.00012958550416673238
1.455141,0.00015305616050965168,0.00013184557534455833
1.467,0.0001533773479239477,0.00013348771591019338
1.472163,0.00015351450525223723,0.00013420375948217797
1.488477,0.00015393728411706276,0.00013647031000873507
1.5003,0.00015423375786064922,0.00013811681699050284
1.505463,0.00015436063950195262,0.00013883683293022147
1.521777,0.00015475131197831795,0.00014111562148630654
1.5336,0.0001550248556451486,0.00014277070409699885
1.538779,0.00015514216106718776,0.00014349656249629928
1.555141,0.00015550286704843646,0.0001457935294847529
1.567,0.00015575496599177922,0.000147461522138751
1.572163,0.00015586230881394124,0.00014818859103801597
1.588477,0.00015619193599479886,0.00015048906887255
1.6003,0.00015642188525245114,0.00015215931204463063
1.605479,0.00015652026549422743,0.0001528916648116319
1.621841,0.00015682184790658226,0.0001552085731440057
1.6337,0.00015703172908761124,0.0001568904755398068
1.638863,0.00015712085476663964,0.00015762345980235422
1.655177,0.00015739357093026688,0.000159942072865076
1.667,0.00015758288289878855,0.00016162493868034547
1.672163,0.0001576633831849562,0.00016236047471180365
1.688477,0.0001579091551758523,0.0001646868875987265
1.7003,0.00015807922944029127,0.00016637515975167458
1.705479,0.00015815161909044334,0.0001671152087190598
1.721841,0.00015837201430121426,0.00016945563988475835
1.7337,0.00015852393169229885,0.0001711538452378044
1.738863,0.00015858804804720446,0.0001718937343303053
1.755177,0.00015878264329572853,0.00017423340209046665
1.767,0.0001589161817078993,0.00017593081238790044
1.772179,0.0001589727133804808,0.00017667474150373557
1.788541,0.00015914357892528802,0.000179026947925301
1.8004,0.0001592601403177611,0.0001807332328112625
1.805563,0.00015930900334280932,0.0001814765217352108
1.821877,0.00015945595828561609,0.00018382646701624688
1.8337,0.00015955549020670433,0.00018553089002295745
1.838863,0.00015959713955530908,0.00018627554032451897
1.855177,0.00015972156606989507,0.00018862956731243916
1.867,0.00015980501855540632,0.00019033674240846792
1.872179,0.0001598398132733593,0.00019108478074212435
1.888541,0.00015994279627792039,0.00019344930664674125
1.9004,0.00016001090938355862,0.00019516389712310412
1.905563,0.0001600388730599253,0.0001959106406360777
1.921877,0.0001601205626713389,0.00019827086454507722
1.9337,0.00016017351561297162,0.00019998213985988165
1.938879,0.00016019507525872137,0.0002007318719131766
1.955241,0.0001602567324131974,0.00020310134504255238
1.9671,0.00016029535671406301,0.00020481914182256464
1.972263,0.00016031060119561766,0.00020556718297783891
1.988577,0.0001603525768283131,0.0002079311195945146
2.0004,0.00016037719217152583,0.00020964472238939983
2.005563,0.000160386429765989,0.00021039313139288514
2.021877,0.00016040965153776452,0.00021275804735454255
2.0337,0.0001604208869543878,0.00021447218838322178
2.038879,0.0001604243458250158,0.0002152230358361284
2.055241,0.00016042949325204554,0.00021759548037426208
2.0671,0.00016042780259320263,0.0002193149122323642
2.072263,0.00016042566057060165,0.0002200635308256794
2.088577,0.00016041335815235582,0.00022242876252582692
2.1004,0.00016039925233395064,0.00022414280746567452
2.105579,0.0001603917174382559,0.00022489352790352682
