,A,B,C,D,E,F,G,H
3.241856,0.0,0.05634999977921634,0.0,0.1639114064941541,0.0007287359755576359,0.27959048143001214,0.5512153341006907,0.2570131165748959
3.375,0.020678074606351547,0.08640196107446461,0.017495075349740652,0.18531462808927254,0.03427030512434257,0.2199280747305972,0.5253873649797612,0.23106641610699044
3.433144,0.005016544289083956,0.10195595740787469,0.01839840151819599,0.20776189408115125,0.02895730418165042,0.225019901925821,0.5189015707724863,0.24000959737172448
3.616856,0.027205578147847444,0.039411243730708145,0.03596712845034218,0.17232153938117245,0.04004611034196452,0.22286222897725802,0.5620364750014673,0.26471881441707323
3.75,0.012827669909127471,0.06925704432557132,0.04026271758005685,0.1639482134365459,0.0009625579486425735,0.19587856468358492,0.514145729830123,0.29895274545218037
3.808144,0.014148650037102275,0.034135013562382736,0.04746395927750609,0.17506229535240564,0.040655408237646726,0.23035940160386129,0.5539929405252784,0.2685555477054607
3.991856,0.011191421860285933,0.07450431206900858,0.021671572721390406,0.20149639317275891,0.0018850368491755212,0.2212218154035,0.4635063743499357,0.26824415989481026
4.125,0.023528730682593927,0.05199657265261521,0.025407123134655842,0.21758372826402542,0.0,0.23037857195581993,0.5106302227307653,0.2899660943224165
4.183144,0.0,0.04934071565365358,0.012620744513642092,0.2091876482598045,0.03887609521938158,0.22290154489764757,0.5108642778810409,0.25519270859580584
4.366856,0.026429545266935167,0.06618445114123149,0.025165528008030683,0.1726443063502233,0.030866498735676054,0.21608604673048498,0.5237420671505908,0.31734731492667684
4.5,0.0,0.06234933122671079,0.011894528014008497,0.18441954432340016,0.009985933664442753,0.20268001322181894,0.4902896766175115,0.2961487795319701
4.558144,0.04131672031258634,0.013121020116849492,0.013419909057868013,0.18704236706866778,0.01536922831126389,0.20205896247219465,0.5419548874432858,0.29779427337259473
4.741856,0.013884409788638415,0.06641278595262036,0.01954581082127676,0.170344401342291,0.01024849134089105,0.2274835986880396,0.5138776376081323,0.29764769110617695
4.875,0.004904111452412546,0.07243216007657421,0.011370715591154242,0.1854160676788399,0.0521769399969014,0.2072262597849849,0.5464399841735317,0.30421633335992226
4.933144,0.0,0.05700755802903375,0.001448185412765186,0.20101247233616318,0.03735346547343009,0.20503218447261587,0.4767114240475172,0.32802449145753715
5.116856,0.011964168993616235,0.04948063948576857,0.033711750516784336,0.18342889833855786,0.0035630294507880376,0.18345790054568092,0.5463992772069525,0.2754970134001952
5.25,0.008913338148516038,0.034562968247768305,0.04583307349680884,0.16753613868254544,0.025008009099528987,0.19331609981223136,0.4978461404521303,0.276400175020963
5.308144,0.0,0.08597008299115315,0.029330989341541984,0.16247686440246836,0.06849645259697042,0.18898333304624051,0.4854488084868737,0.29181953303514624
5.491856,0.02157105506962363,0.032607320180659864,0.022878487463262306,0.15980062618861288,0.03639462647434132,0.18489497485278733,0.4840185288465294,0.33306100191988175
5.625,0.007163737424469101,0.051695243621923424,0.0,0.15709260826980004,0.03179819803540043,0.1533268212909468,0.5017765889376986,0.3469048652908864
5.683144,0.03661946887984314,0.0452986762544311,0.05519499345932087,0.12116869742287109,0.020793981917193935,0.15951833327619733,0.4608218126452394,0.35947290532653425
5.866856,0.007443222775027654,0.036913993219817816,0.0,0.13475675703689977,0.01762279491305817,0.16580408620694964,0.44889130802203164,0.30694069581057687
6.0,0.009012656505311842,0.027973068533059323,0.008756822724045907,0.1862631034223706,0.008044964915958432,0.18150745921767658,0.45769169439713525,0.3626150793398197
6.058144,0.008674155283095567,0.019519296579388154,0.0384178781999483,0.1254753348675599,0.0,0.1435877944347537,0.4894385919559432,0.3443140890219526
6.241856,0.008811428733858373,0.05448743708383881,0.010242607356440964,0.15793759469259924,0.055715622323351754,0.15846585624893905,0.45373929915564104,0.30658343259920795
