,AA,H2O,ASA,ASAA,SA,HA
0.0,9.3828,0.0,0.0177,1.5e-05,1.0714,0.0177
0.52631425,8.15360564512,0.0,0.188403924573,0.0754030195288,1.73477260079,0.339182860429
1.0526285,7.44981315765,0.0,0.28312197141,0.227621913296,1.78329094539,0.73833966699
1.57894275,6.80074909439,0.0,0.330512630013,0.402765215739,1.7987197702,1.13601773273
2.105257,6.20425363727,0.0,0.355258782035,0.576491888832,1.81020441829,1.50821794674
2.63157125,5.6623418714,0.0,0.369125326044,0.739698208347,1.82086428067,1.84849777325
3.1578855,5.1725364143,0.0,0.377542695599,0.889648427431,1.83101588778,2.15681616015
3.68419975,4.73041721232,0.0,0.383080666444,1.02614135818,1.84067891968,2.43534051458
4.210514,4.34022819012,0.0,0.387725279951,1.15234629064,1.83192033728,2.69239541789
4.73682825,4.05784316794,0.0,0.389905566268,1.28833909153,1.68980644164,2.96656133221
5.2631425,3.80443911163,0.0,0.382995921004,1.41454678056,1.56672136146,3.21206709022
5.78945675,3.57776335556,0.0,0.371409554319,1.52998587583,1.45932822588,3.43135893762
6.315771,3.37493275586,0.0,0.35762139843,1.63489082676,1.36494675611,3.62738070532
6.84208525,3.19305075081,0.0,0.343023823233,1.73001196214,1.28143256066,3.8030254208
7.3683995,3.02945083919,0.0,0.328395137581,1.81627690957,1.20706391138,3.96092664818
7.89471375,2.88177133034,0.0,0.314161127683,1.89463126587,1.14044798798,4.1034013675
8.421028,2.74796903558,0.0,0.300543269004,1.965962217,1.08045343031,4.23244542626
8.94734225,2.62629103004,0.0,0.287644193808,2.03107202548,1.02615339931,4.34976598194
9.4736565,2.51523943421,0.0,0.275497604243,2.09067163393,0.9767829723,4.45681862203
9.99997075,2.41353504472,0.0,0.264097775618,2.1453844302,0.931706193045,4.5548443977
10.526285,2.320083824,0.0,0.253417172732,2.19575421842,0.890390507517,4.64490338207
11.05259925,2.23394813156,0.0,0.243417002368,2.24225421293,0.852387107936,4.72790321074
11.5789135,2.1543214719,0.0,0.234053476913,2.28529634397,0.817315182689,4.80462395663
12.10522775,2.0805077795,0.0,0.225281535444,2.32523955811,0.78484970634,4.87573845205
12.631542,2.01190404314,0.0,0.217056987827,2.36239724045,0.754711687692,4.94182927714
13.15785625,1.94798590538,0.0,0.209337702211,2.39704364331,0.726660383072,5.00340280473
13.6841705,1.88829568536,0.0,0.202084204921,2.42941941549,0.700487014351,5.06090085879
14.21048475,1.83243236722,0.0,0.195259919001,2.45973634786,0.676009649649,5.11471044417
14.736799,1.78004330418,0.0,0.188831195302,2.48818138411,0.653069044824,5.16517179912
15.26311325,1.73081730739,0.0,0.182767223117,2.51492001617,0.631525236894,5.21258509684
15.7894275,1.6844788394,0.0,0.177039872226,2.54009917601,0.611254723461,5.25721607107
16.31574175,1.6407831419,0.0,0.171623503536,2.56384968881,0.592148124444,5.29930073314
16.842056,1.59951209644,0.0,0.166494765146,2.58628837744,0.574108217165,5.33904937687
17.36837025,1.56047075442,0.0,0.161632393583,2.60751983964,0.557048303067,5.3766499343
17.8946845,1.5234843712,0.0,0.157017021425,2.62763797768,0.540890822994,5.41227084257
18.42099875,1.48839589987,0.0,0.152630999823,2.64672729789,0.525566194565,5.44606346553
18.947313,1.45506383377,0.0,0.148458233345,2.66486403529,0.511011817495,5.47816417778
19.47362725,1.42336026492,0.0,0.144484018865,2.68211717144,0.497171184749,5.50869623934
19.9999415,1.39316933924,0.0,0.140694914533,2.69854924565,0.483993176769,5.53777128699
20.52625575,1.36438592058,0.0,0.137078621584,2.71421705884,0.471431453533,5.56549062382
21.05257,1.33691435273,0.0,0.133623868597,2.7291723287,0.459443894326,5.59194641379
21.57888425,1.31066742879,0.0,0.130320313104,2.74346223604,0.447992132356,5.61722267608
22.1051985,1.28556548266,0.0,0.127158452288,2.75712990769,0.437041145811,5.64139616151
22.63151275,1.26153561905,0.0,0.124129545967,2.77021482627,0.426558911945,5.6645370952
23.157827,1.23851098864,0.0,0.12122554165,2.78275321724,0.416516082645,5.68670987554
23.68414125,1.21643014845,0.0,0.118439007119,2.79477839094,0.406885698803,5.70797369102
24.2104555,1.19523655353,0.0,0.115763076788,2.80632101448,0.397642963346,5.72838301026
24.73676975,1.17487806854,0.0,0.113191398847,2.81740937358,0.388765023831,5.74798805293
25.263084,1.15530657874,0.0,0.110718093168,2.82806958118,0.380230799258,5.76683516477
25.78939825,1.13647758344,0.0,0.108337706,2.83832579598,0.37202079976,5.78496720941
26.3157125,1.11834987142,0.0,0.106045173787,2.84820039696,0.364116982627,5.80242388131
26.84202675,1.10088522301,0.0,0.103835789571,2.85771414377,0.356502620398,5.81924199278
27.368341,1.08404814401,0.0,0.101705172711,2.86688632007,0.349162183124,5.83545573051
27.89465525,1.06780562734,0.0,0.099649241556,2.87573486204,0.342081233056,5.8510968852
28.4209695,1.05212693928,0.0,0.0976641887659,2.8842764737,0.335246330251,5.86619505759
28.94728375,1.03698343584,0.0,0.0957464600411,2.89252672604,0.328644951556,5.88077783534
29.473598,1.0223483856,0.0,0.0938927333794,2.90050015274,0.322265412492,5.89487096381
29.99991225,1.00819679284,0.0,0.0920998981493,2.90821034583,0.316096789449,5.90849851642
30.5262265,0.994505273194,0.0,0.0903650404956,2.91567002287,0.310128864882,5.92168301446
31.05254075,0.98125192598,0.0,0.0886854281937,2.92289109607,0.304352071155,5.93444555013
31.578855,0.968416218481,0.0,0.0870584968605,2.92988473491,0.298757439664,5.94680589799
32.10516925,0.955978880876,0.0,0.0854818373851,2.936661423,0.293336554659,5.95878261617
