,A-,AC-,AH,B,BH+,C,P
0.0,0.0,0.0,0.395555,0.0351202,0.0,0.0,0.0
4.341429,0.03366437347429147,0.0009835972618442857,0.3583950398647647,0.0002968526979587262,0.03464797073613575,0.005824132264368002,0.0005367421759414687
18.058571,0.03121341122810548,0.003288214904264863,0.34502184745721604,-9.959497584024584e-05,0.03450162613237033,0.018844603662070067,0.007942868689821522
28.0,0.02954491020263434,0.00422138805220443,0.33258121008284464,0.0002527702308536959,0.03376629825483877,0.025086556256994862,0.01680556695397452
32.341429,0.02926621997190046,0.004549598773807774,0.3262945540071862,3.867199556967199e-05,0.033815818745708236,0.02726706668115263,0.021189081269752993
46.058571,0.028007433233424625,0.005293404130878482,0.3060209933365905,4.395751223139129e-05,0.0333008373643031,0.03282056265301121,0.036236974129021965
56.0,0.027266858953014905,0.005666496674987263,0.29071514888031097,5.1529970037481256e-05,0.03293335562800217,0.03590015027221363,0.04785668118916505
60.341429,0.026974447687003442,0.005803525814078424,0.2839635911388228,5.2165785065302236e-05,0.032777973501081865,0.037079583998825945,0.05302073014577255
74.058571,0.02613102247833623,0.00616061488336314,0.26261076652806936,5.8965307021088385e-05,0.03229163736169937,0.040366479351829875,0.06945892203165879
84.0,0.025578809315004846,0.006368836987052447,0.2472323964261957,6.407979675354635e-05,0.031947646302057285,0.04244419933754264,0.0813645531742509
88.341429,0.02534874617338664,0.00645083101635175,0.2405708155014855,6.637868822622602e-05,0.03179957718973837,0.043298957870404144,0.0865324090385011
102.058571,0.024655138518009684,0.0066846536840527064,0.21981268271310253,7.418652691461396e-05,0.03133979220206237,0.04586581972666636,0.10265975725152231
112.0,0.024177379075405223,0.006836494066391845,0.2050811640504036,8.047048385834699e-05,0.031013873141797058,0.04764233049366107,0.11411717950491722
116.341429,0.023973783835714513,0.006899585020697505,0.1987392823310774,8.342171391196942e-05,0.030873368856412006,0.048406586202675995,0.11905032037999871
130.058571,0.02334643916667263,0.007089856994165848,0.17908936603410727,9.376739514500344e-05,0.030436296160838462,0.050806105403709896,0.13433112933491567
140.0,0.022904214559531254,0.0072214121584698145,0.16522729202085784,0.00010244973319218215,0.030125626718001054,0.05254976006134983,0.14510262481304975
144.341429,0.022713735974636773,0.007277707267282616,0.15927618168268923,0.00010662159917403181,0.029991443241919373,0.05331714245324844,0.14972361197662495
158.058571,0.02212050182504699,0.007452353446219785,0.1408882041133063,0.00012167434745625161,0.02957285527126677,0.05578027154193623,0.1639852041143246
168.0,0.02169729615029756,0.007576677519189403,0.12795773962181187,0.0001347945891954777,0.02927397366948698,0.05761229931396434,0.17399605103131713
172.341429,0.021513889566598103,0.007630553057325785,0.12241590115291236,0.00014125185847160777,0.029144442623923895,0.058427340850675545,0.17828125396417754
186.058571,0.020938653120530844,0.007799480519432124,0.10532556621684545,0.0001653768678539647,0.028738133639962977,0.061071479619608425,0.19147340126788703
196.0,0.020524429082362072,0.007920784773068044,0.09333821659535481,0.00018748761899473217,0.028445213855430133,0.06306101950820352,0.20070357792946705
200.341429,0.02020276968327875,0.008081173302919846,0.08803867669162424,0.00020157619703501105,0.028283942986198605,0.06526126189917235,0.20450669053464668
214.058571,0.020611334282854617,0.007501981004693822,0.07314600948527614,0.00022442784780851192,0.028113315287548436,0.05863015392137323,0.217905599854772
224.0,0.021483010983770888,0.006640814923115974,0.06398822426092064,0.00022739360212644153,0.028123825906886852,0.04962789490221923,0.22720465739330414
228.341429,0.021819489132575864,0.0063031224987323345,0.0603836406376402,0.00022860786785697796,0.028122611631308192,0.046359789951084855,0.2308104551812449
242.058571,0.022805188910196304,0.005314785457667136,0.05034037401941236,0.00023124511482739947,0.028119974367863423,0.03730222398594282,0.24085635887736875
252.0,0.023450740479404108,0.004669063932835173,0.04420617920264144,0.00023141506597598282,0.028119804412239262,0.03181358097621541,0.24699072359935584
256.341429,0.02371448437160373,0.0044057445967163695,0.04179541446664054,0.00023099050848858689,0.028120228968320084,0.029666560207161175,0.24940106376343385
270.058571,0.024475702696702063,0.003647769576774921,0.035122330641263556,0.00022774720016838056,0.028123472273476967,0.02375469487498428,0.25607090424802587
280.0,0.0249609197313192,0.0031667176974194892,0.031081043871700097,0.00022358204343968707,0.028127637428738677,0.020198625217993215,0.2601080258458051
284.341429,0.025156058680632157,0.0029738625033396927,0.029500183588104068,0.00022129828769348813,0.02812992118397183,0.018812903910974003,0.2616866023683896
298.058571,0.025710466852784986,0.002428445419413753,0.025145666933969506,0.00021230719818258708,0.02813891227219871,0.015012795497225543,0.26603212791983555
308.0,0.026057132734961724,0.0020898582545965864,0.022524753016328735,0.0002042284801337168,0.028146990989558272,0.0127385474983898,0.2686449631123532
312.341429,0.026195156905246663,0.00195573289017289,0.021502861990963244,0.00020032967401649405,0.028150889795419517,0.01185468065691244,0.2696629553289744
326.058571,0.026583259598950824,0.0015812604457840153,0.018697477519873412,0.00018669942402481444,0.028164520044734805,0.009437398915470211,0.2724547095431307
336.0,0.026823020771080747,0.0013524048931496595,0.017016047250273315,0.00017579380413959404,0.028175425664230373,0.007995729838704828,0.2741252341888466
340.341429,0.026917900636963248,0.001262496843283386,0.016361899026879893,0.00017082198797369513,0.0281803974802466,0.007436461489147621,0.2747744105945381
354.058571,0.02718301798223993,0.0010136962007956435,0.014570096117152632,0.00015450528477606434,0.028196714183035536,0.00590977594641468,0.27654989679687325
364.0,0.027345587534781297,0.0008632696331584371,0.013499218671090623,0.00014236229962633963,0.02820885716793969,0.005001468065941752,0.27760863125526536
368.341429,0.027409671556365242,0.0008045055860930227,0.013083232825247038,0.00013704232501143764,0.02821417714245822,0.00464956624680361,0.27801929712550494
382.058571,0.02758797597250626,0.0006428668215330635,0.011945603949247737,0.00012037667316132856,0.028230842794039278,0.003690241801242024,0.27914026034689293
392.0,0.027696713098967343,0.0005458506742816624,0.011267127382214354,0.00010865569378535794,0.028242563773248956,0.0031205023695045687,0.27980701593284374
396.341429,0.02773943978613352,0.0005080961489109394,0.011003882706747672,0.00010368353192366316,0.028247535935044407,0.0028999843847243214,0.2800652884457689
410.058571,0.02785786494876144,0.0004046717581023708,0.010284907151142221,8.868275991639853e-05,0.028262536706863763,0.0022994340017315654,0.2807692632274386
420.0,0.0279297036266505,0.00034290476878067193,0.009856880714631663,7.861107123051481e-05,0.028272608395431113,0.0019432462494070055,0.28118721797404683
424.341429,0.0279578390349782,0.0003189303996432247,0.009690983315421755,7.445003199252352e-05,0.02827676943462137,0.0018054842610617642,0.2813489543335288
438.058571,0.028035510377480248,0.00025343866489576674,0.009238420982296953,6.227042410085617e-05,0.028288949042375968,0.0014305932777223475,0.2817893370573552
448.0,0.028082368934709,0.00021445893364094575,0.008969436253712904,5.43915980391017e-05,0.028296827868349902,0.001208467111031746,0.28205044295897624
452.341429,0.028100659760021542,0.00019935623455971085,0.008865280702801575,5.120347177213196e-05,0.028300015994581207,0.0011226023873284236,0.28215141038325453
466.058571,0.02815095497176934,0.00015817807051154653,0.008581452332153473,4.208642396909942e-05,0.028309133042280846,0.0008890692339218037,0.28242612170503845
476.0,0.028181139193083,0.0001337262279223574,0.008412998280439904,3.635404517757213e-05,0.02831486542100532,0.0007507994070834056,0.28258884337727225
480.341429,0.028192885652935838,0.00012426380259553306,0.008347823207000123,3.4070010624143456e-05,0.028317149455531328,0.0006973707949535468,0.28265173441587726
494.058571,0.028225073623751186,9.849712024271624e-05,0.008170378272225158,2.7648722081510477e-05,0.02832357074399386,0.0005521138352496929,0.28282275806128754
504.0,0.02824430519507805,8.322050516638976e-05,0.008065187001888149,2.369376577850444e-05,0.028327525700244393,0.00046615413902583277,0.28292399437478305
508.341429,0.028251770982483652,7.731348562356702e-05,0.008024514560269015,2.2134997894159047e-05,0.02832908446810717,0.00043294748595858244,0.2829631080482965
522.058571,0.02827217291420302,6.124198518280813e-05,0.007913857471879181,1.7804566552130494e-05,0.028333414899385775,0.0003426923326575143,0.2830694347046934
532.0,0.028284320921785767,5.1723239534093535e-05,0.007848316911135484,1.5175304576205644e-05,0.028336044161319806,0.0002892997817206303,0.2831323460030312
536.341429,0.028289028276523027,4.804455653926058e-05,0.00782298743505154,1.4146632816481648e-05,0.028337072833062235,0.0002686776612931866,0.283156646807178
550.058571,0.028301866476759495,3.8041306374726726e-05,0.007754108538484065,1.1311682693414997e-05,0.02833990778313417,0.00021263696767875298,0.2832226907530976
560.0,0.028309492063804825,3.212056597972631e-05,0.007713338250332911,9.60683600907281e-06,0.028341612629784498,0.00017949226837847166,0.28326175619421534
564.341429,0.028312443251362566,2.98331690717751e-05,0.007697586878284783,8.94304534518456e-06,0.028342276420434288,0.00016669208463728863,0.2832768437754549
578.058571,0.02832048083524328,2.361536540451507e-05,0.0076547687140780096,7.123265089850921e-06,0.028344096200647744,0.00013191150653551014,0.2833178421589766
588.0,0.028325247011729785,1.9936722146318493e-05,0.007629434908587005,6.035731833525914e-06,0.028345183733876046,0.00011134387901808917,0.28334208843092373
592.341429,0.028327090023502755,1.8515834770762522e-05,0.00761964945563019,5.613607424462232e-06,0.028345605858273462,0.00010340143845339458,0.28335145175935195
606.058571,0.028332104893684668,1.4654317488861341e-05,0.0075930550038862624,4.460254489707042e-06,0.028346759211173474,8.182185873687438e-05,0.28337689285780454
616.0,0.028335075379679893,1.2370338199720037e-05,0.00757732452952037,3.773747760247836e-06,0.028347445717879557,6.906187160637997e-05,0.2833919368252011
620.341429,0.02833622339659805,1.1488263830894007e-05,0.007571249319448499,3.5078052011759506e-06,0.028347711660428883,6.413467897053682e-05,0.28339774609261387
634.058571,0.028339345324202084,9.091405141609912e-06,0.007554740841352425,2.782736257257317e-06,0.028348436729343635,5.074813002750791e-05,0.28341352950146675
644.0,0.02834119324633809,7.673969151190944e-06,0.007544977924008832,2.35225009195831e-06,0.02834886721548922,4.283313586552413e-05,0.2834228619324427
648.341429,0.028341907172199608,7.126600944471369e-06,0.007541207760581738,2.185692428925471e-06,0.02834903377314402,3.977689873769934e-05,0.28342646553812223
662.058571,0.028343847896749198,5.639369483793499e-06,0.007530963870062822,1.7321993152766766e-06,0.02834948726623294,3.1473734081781786e-05,0.2834362559352737
672.0,0.028344996129259385,4.759954499566464e-06,0.007524906447289251,1.4633817725291302e-06,0.0283497560837589,2.656454470848565e-05,0.2834420445403322
676.341429,0.02834543963961789,4.4203707306793945e-06,0.007522567373671926,1.3594551758850622e-06,0.028349860010348518,2.4668981823164445e-05,0.2834442796872808
690.058571,0.028346644984359994,3.4977524065262405e-06,0.007516212267613551,1.0767287367726567e-06,0.02835014273676647,1.9519221630585572e-05,0.2834503520666829
700.0,0.0283473579269523,2.9522346729183886e-06,0.007512454632982098,9.093038636570039e-07,0.028350310161625168,1.647453035565152e-05,0.2834539422762932
704.341429,0.02834763326650471,2.741591404822127e-06,0.007511003673922088,8.446075732958198e-07,0.02835037485790948,1.5298911169389314e-05,0.28345532853900085
718.058571,0.028348381455629904,2.1693122890954485e-06,0.007507061662464279,6.686975455742993e-07,0.028350550767918946,1.2105089805903267e-05,0.28345909464024366
728.0,0.028348823919598996,1.8309538866247418e-06,0.007504730942456848,5.645919664751454e-07,0.028350654873485565,1.0216834428753051e-05,0.28346132125454393
732.341429,0.02834899478516914,1.700304686645526e-06,0.007503830986816672,5.243755910685842e-07,0.02835069508985573,9.487744637248937e-06,0.2834621809937549
746.058571,0.028349459040555178,1.3453623154093162e-06,0.007501386015739459,4.150625604087949e-07,0.028350804402870532,7.507029787957006e-06,0.2834645166516388
756.0,0.02834973356156928,1.1355089685122098e-06,0.007499940463544453,3.503948823312246e-07,0.02835086907053773,6.335999183072173e-06,0.28346589753604406
760.341429,0.02834983956720575,1.0544800302877636e-06,0.007499382303434943,3.2541817951360586e-07,0.028350894047235974,5.88384495308178e-06,0.28346643071940386
774.058571,0.0283501275762956,8.343468467767734e-07,0.00749786593360874,2.575422593006574e-07,0.028350961923142314,4.655484952870439e-06,0.2834678792131675
784.0,0.0283502978686087,7.041990768668981e-07,0.007496969418486678,2.1739770657416712e-07,0.0283510020676855,3.929262648885065e-06,0.28346873558363894
788.341429,0.02835036362438819,6.539465920941129e-07,0.0074966232568596455,2.0189440784065017e-07,0.02835101757098022,3.6488570147375193e-06,0.2834690662419261
802.058571,0.02835054227130688,5.174256253857511e-07,0.007495682837929807,1.5976844365095083e-07,0.02835105969693221,2.8870856510923143e-06,0.2834699645347665
812.0,0.0283506478960983,4.3671209739240864e-07,0.007495126845143381,1.3485717180688926e-07,0.028351084608195642,2.4367181013187294e-06,0.28347049561619475
816.341429,0.028350688680656166,4.0554724969701325e-07,0.007494912166836338,1.2523745809217592e-07,0.028351094227905813,2.2628245405443926e-06,0.2834707006747518
830.058571,0.028350799482668273,3.2088211152808135e-07,0.007494328952502898,9.91005733611817e-08,0.02835112036477975,1.7904127918429426e-06,0.2834712577520897
840.0,0.02835086499250031,2.708269381601594e-07,0.007493984147874898,8.364590722721992e-08,0.028351135819438423,1.5111183904876593e-06,0.28347158710197495
844.341429,0.028350890287274118,2.5149985444006654e-07,0.007493851013355521,7.767821399687449e-08,0.028351141787128508,1.4032788121071238e-06,0.2834717142687688
858.058571,0.02835095900624746,1.989943810894656e-07,0.00749348932942,6.14647044074649e-08,0.028351158000628502,1.1103143588743703e-06,0.2834720597390963
868.0,0.028350999634521177,1.6795255211821844e-07,0.00749327549759519,5.187825300797618e-08,0.02835116758707325,9.371111592006043e-07,0.28347226398440145
872.341429,0.02835101532185808,1.559668399404661e-07,0.007493192933910292,4.817662547876614e-08,0.028351171288697977,8.702349602714372e-07,0.28347234284643
886.058571,0.02835105793968974,1.2340557603760854e-07,0.007492968635232012,3.812004915264274e-08,0.028351181345265736,6.885545680607097e-07,0.2834725570884441
896.0,0.02835108313609797,1.0415503334334861e-07,0.007492836027523763,3.2174177668504595e-08,0.028351187291131265,5.81143582377678e-07,0.2834726837502198
900.341429,0.02835109286485476,9.672212086460853e-08,0.007492784825752748,2.987833085034305e-08,0.028351189586975575,5.396707016296682e-07,0.2834727326561182
914.058571,0.028351119294854465,7.652935014117662e-08,0.007492645727362424,2.3641094180664832e-08,0.02835119582420456,4.2700271845603694e-07,0.28347286551719303
924.0,0.028351134920634572,6.459120026638266e-08,0.007492563491065335,1.9953458599248477e-08,0.02835119951183479,3.6039248380615447e-07,0.2834729440657996
928.341429,0.02835114095399254,5.998171145592275e-08,0.007492531738451859,1.852958718239524e-08,0.028351200935703952,3.3467334830339845e-07,0.2834729743945186
942.058571,0.028351157344691562,4.745926018798874e-08,0.007492445477088373,1.4661332508566339e-08,0.028351204803951712,2.6480305059390757e-07,0.2834730567875564
952.0,0.028351167035061044,4.005587920711735e-08,0.007492394478582349,1.237433917866114e-08,0.028351207090940217,2.2349516859780222e-07,0.2834731054990196
956.341429,0.02835117077665716,3.7197330091010254e-08,0.007492374787333617,1.149129014279306e-08,0.028351207973987214,2.0754562427050697e-07,0.2834731243071984
970.058571,0.028351180941353492,2.9431604055538985e-08,0.007492321292727417,9.092313597517247e-09,0.028351210372957507,1.6421604573422203e-07,0.2834731754027639
980.0,0.02835118695082435,2.4840442144489707e-08,0.007492289666233675,7.67400028056583e-09,0.02835121179126645,1.3859925315369365e-07,0.28347320561089945
984.341429,0.02835118927116798,2.3067730603282413e-08,0.007492277454794606,7.126366350625566e-09,0.02835121233889854,1.287082557721425e-07,0.28347321727468566
998.058571,0.028351195574777072,1.8251864685329454e-08,0.007492244280353173,5.638617506017505e-09,0.028351213826641714,1.0183772378511814e-07,0.2834732489613201
1008.0,0.028351199301528886,1.5404685282403356e-08,0.007492224667319341,4.759041124410168e-09,0.028351214706214125,8.595165082239915e-08,0.28347326769473674
