,C,B,AH,A-,BH+,AC-,P
0.0,0.0,0.0351202,0.395555,0.0,0.0,0.0,0.0
0.777777777778,0.00121032241876,7.26456254865e-07,0.360104458622,0.0349843299381,0.0350879248723,0.000103594934122,7.2872441258e-06
1.55555555556,0.00230277162551,2.11049634061e-06,0.359744984,0.0347627297022,0.0350550487984,0.000292319096223,4.49465820426e-05
2.33333333333,0.00334232945327,3.63778650541e-06,0.359348245591,0.0345285052243,0.0350220859909,0.000493580766544,0.000120592978965
3.11111111111,0.00434520686569,5.14033743616e-06,0.358913770198,0.0342983310952,0.0349892042589,0.000690873163713,0.000234529794026
3.88888888889,0.0053161902428,6.5885409332e-06,0.358442817958,0.034075726498,0.0349564330779,0.000880706579842,0.000385465919805
4.66666666667,0.00625737517205,7.97842004378e-06,0.357937010724,0.0338611564173,0.0349237762601,0.00106261984277,0.000571773835497
5.44444444444,0.00717013630851,9.31202295989e-06,0.357397970462,0.0336543655077,0.0348912316061,0.00123686609837,0.000791832071693
6.22222222222,0.00805564107735,1.05925496858e-05,0.3568272512,0.0334549591247,0.0348587957647,0.00140383664001,0.00104408824722
7.0,0.00891502421828,1.18233377464e-05,0.356226387973,0.0332625232053,0.0348264651391,0.00156394193379,0.00132700800668
7.77777777778,0.00974925306353,1.30073584862e-05,0.355596714597,0.0330766886992,0.0347942367098,0.00171754801064,0.00163926000837
8.55555555556,0.0105592993024,1.41474671385e-05,0.354939552448,0.0328970980387,0.0347621074733,0.00186500943457,0.00197952421073
9.33333333333,0.0113460889246,1.52463014633e-05,0.354256152064,0.0327234188309,0.0347300746441,0.00200665581318,0.00234655119779
10.1111111111,0.0121104436661,1.630621296e-05,0.353547632227,0.0325553538197,0.0346981358668,0.0021427820471,0.00273922449889
10.8888888889,0.0128532733031,1.73295826437e-05,0.352815192059,0.0323925986705,0.0346662884783,0.00227368980778,0.00315634447795
11.6666666667,0.013575386993,1.83185121556e-05,0.352059902583,0.0322348837207,0.0346345302303,0.0023996465096,0.00359684070802
12.4444444444,0.0142775578413,1.92749617869e-05,0.351282781966,0.0320819560934,0.0346028590154,0.00252090292205,0.00405969547332
13.2222222222,0.0149605240112,2.02007566358e-05,0.350484797359,0.0319335790953,0.0345712728635,0.00263769376816,0.00454394195939
14.0,0.0156249922498,2.1097600568e-05,0.349666869968,0.0317895305935,0.0345397699264,0.00275023933286,0.00504865918167
14.7777777778,0.016271640627,2.19670867519e-05,0.348829878927,0.0316496018119,0.0345083484656,0.00285874665375,0.00557296811069
15.5555555556,0.0169011155337,2.2810698656e-05,0.347974658442,0.031513597396,0.034477006856,0.00296340946002,0.00611603456803
16.3333333333,0.0175140498587,2.36298435363e-05,0.347102017698,0.0313813310389,0.0344457435019,0.00306441246298,0.00667704884212
17.1111111111,0.0181110248664,2.44258053124e-05,0.346212703385,0.0312526321219,0.0344145570215,0.00316192489958,0.00725526452424
17.8888888889,0.0186926102268,2.51998060319e-05,0.345307440812,0.031127337482,0.0343834460514,0.00325610856939,0.00784995607388
18.6666666667,0.0192593522347,2.59529920325e-05,0.344386922517,0.0310052933805,0.034352409304,0.00334711592347,0.00846043065215
19.4444444444,0.0198117749049,2.66864401575e-05,0.343451810072,0.0308863547924,0.0343214455621,0.00343509076969,0.00908602632178
20.2222222222,0.0203503810384,2.74011630218e-05,0.342502735762,0.030770384792,0.034290553673,0.00352016888092,0.00972611037318
21.0,0.0208756551321,2.80981172588e-05,0.341540306478,0.0306572535135,0.0342597325394,0.00360247902581,0.0103800754289
21.7777777778,0.0213880585033,2.87781959061e-05,0.340565097869,0.0305468392928,0.0342289811303,0.00368214183748,0.0110473453171
22.5555555556,0.0218880360311,2.94422464234e-05,0.339577663341,0.0304390262446,0.0341982984598,0.00375927221522,0.0117273660579
23.3333333333,0.0223760151897,3.00910680788e-05,0.338578532689,0.0303337047151,0.0341676835907,0.0038339788756,0.0124196072391
24.1111111111,0.0228524067915,3.07254156672e-05,0.337568213312,0.0302307708126,0.0341371356306,0.00390636481803,0.0131235608068
24.8888888889,0.023317605737,3.13460026862e-05,0.336547191338,0.0301301260263,0.0341066537291,0.00397652770282,0.0138387399381
25.6666666667,0.0237719917343,3.19535041631e-05,0.335515932693,0.0300316768847,0.0340762370746,0.00404456018984,0.0145646779833
26.4444444444,0.0242159299812,3.25485592375e-05,0.334474884088,0.0299353346422,0.0340458848918,0.00411055024965,0.015300927472
27.2222222222,0.0246497718132,3.31317735365e-05,0.333424473965,0.0298410149885,0.0340155964396,0.00417458145116,0.0160470591783
28.0,0.0250738553168,3.37037213669e-05,0.33236511337,0.0297486377803,0.0339853710086,0.00423673322829,0.0168026612411
