,A-,AC-,AH,B,BH+,C,P
0.0,0.00048228926443011946,0.0,0.39434733550040846,0.03409964384700853,0.0007084988820756129,0.0007180448902581472,0.0002744094276995295
1.860612,0.034740107440970454,0.0010314711437839166,0.35917522903542926,0.0014069675652525,0.032449895589091685,0.0019437966109411107,0.0
7.739388,0.03393609388361718,0.001880092883153676,0.3552599829818887,0.0,0.03384372016624948,0.009432686707118785,0.0012912167003742477
12.0,0.0322834745648849,0.001721592710582632,0.35214675532397105,0.0023957310996313517,0.03501298285619396,0.014150244137797845,0.0028996500352128866
13.860612,0.03106114019494658,0.001624448550469232,0.3473864501180954,0.0,0.034401812877364685,0.01468366349321176,0.0034565461645390374
19.739388,0.02957796451766345,0.0030500977357914147,0.34252803671543613,0.00016442153829128605,0.033044658560750596,0.018198139986220153,0.009272550647438474
24.0,0.029629155328409644,0.004085464781635425,0.3396367933254503,0.0003336191521357751,0.03459265323721156,0.0229808536314114,0.012343903388387588
25.860612,0.030821427997423642,0.0034915622411182947,0.3349787911097364,0.0005586825052798084,0.03383567366004295,0.024694169062591406,0.012525752855300405
31.739388,0.027542299667863975,0.00506867170372315,0.3262915219060623,0.0,0.033787406608091514,0.028003589156011314,0.02025314781128532
36.0,0.02850433408772246,0.004738303312747286,0.321312374969859,0.0,0.03339920075927119,0.027434732451802096,0.02478430313606831
37.860612,0.02853366823496088,0.006041780305599912,0.3198981872234563,0.0,0.03385147200258347,0.029577638281689123,0.02774904110103
43.739388,0.027044668349211397,0.004686538117458475,0.3100570466401092,0.0,0.03200849040441779,0.032770634128445615,0.033114169283830645
48.0,0.02809823560704933,0.006094615089203387,0.3027216585526368,0.0,0.03309530419633729,0.03296795461728999,0.038153650964362476
49.860612,0.027423211917945917,0.005710257652671464,0.2997123465978082,0.00012346199655199002,0.034057988896628075,0.03273312601322331,0.04198602144639588
55.739388,0.02700267605896134,0.005840199740033584,0.2934920055911003,0.00016839115331511486,0.032985737142379914,0.03592070445988021,0.045652072803106764
60.0,0.027742444330656996,0.004041429116630089,0.2857463196270138,0.0,0.031136258248012486,0.03641460063335662,0.05283161546830928
61.860612,0.02771709655227323,0.0058865620998994755,0.28182443843060495,0.0003381935556139262,0.03489478750999379,0.03791680188444677,0.05397574130425029
67.739388,0.025543759795466782,0.004005343432743775,0.2743335061983799,0.00032365670396334835,0.033128327238975,0.03824280029314605,0.06150333668088299
72.0,0.026854503211169205,0.007942251228048902,0.2659642553150933,0.0,0.032304330742063535,0.04152772545967623,0.06798701869546708
73.860612,0.027304792251094067,0.006420786012039744,0.2635170702573234,0.0,0.03290329287723992,0.04036215592092494,0.06940958591321994
79.739388,0.0261959508393319,0.004848875310218699,0.2513030646246156,0.0,0.03279624043547926,0.041353900710407905,0.07552299924030426
84.0,0.02548426824495819,0.005336602698241518,0.2459969899943813,0.0013534829048521563,0.031548037469676896,0.04269252079598791,0.08179213471550066
85.860612,0.02685671209174643,0.004893570565840411,0.2437436290474221,0.0,0.03403923693005913,0.04299409576913808,0.08365780767684443
91.739388,0.02504507037892471,0.004523424064523862,0.2365634023770788,0.0003466087309090654,0.029649278409588805,0.042995191346043286,0.08972895063526189
96.0,0.025960032132958926,0.0070018361636511916,0.22781189806325444,0.0006471411538414119,0.032789236071834676,0.04351163134982103,0.09482059436569863
97.860612,0.024291084674329073,0.006276857329711944,0.2268010187079252,0.0,0.030638491934412974,0.04397877529585724,0.09791137203049134
103.739388,0.02561837867937318,0.008051235566606009,0.21749696945542502,0.0019245433518736703,0.030769434827406617,0.048678093304395854,0.10532759725247495
108.0,0.024349697167243448,0.007576142465641347,0.21029156404189933,0.0012444281168942424,0.03134867569328952,0.047556435216964996,0.10944381922486197
109.860612,0.024026153650529132,0.005726007306349504,0.20710307086532728,0.0,0.03037251471714718,0.04884420356010173,0.11287836124718993
115.739388,0.024112996966002616,0.006431348082007381,0.20088788819549336,0.0009479843971758889,0.03175813316824347,0.047257478178856796,0.11703664104256455
120.0,0.025648803032565205,0.0076922939407822535,0.19456858667270308,0.0006251122637487612,0.03128546275141497,0.04714690163256586,0.12185510335865084
121.860612,0.026048122635139656,0.007606737889144359,0.1904571053134849,0.0,0.031634864936985654,0.048241997170013755,0.12572183919601562
127.739388,0.023405292869710832,0.008614900002466779,0.1835058060710263,0.0010941523625467773,0.029962289930797765,0.051051494781326534,0.1314382645481483
132.0,0.023123858596961137,0.005811603433481109,0.17560090642905518,0.0,0.03112864497332555,0.050820182379270155,0.13461837096551996
133.860612,0.024254293533725893,0.006212521312442382,0.17396133445788695,0.0012704053185506174,0.029237413172558478,0.050693797126951254,0.1364549951324064
139.739388,0.02285894863794469,0.00823349668810653,0.16557977837983542,0.0001888611690609659,0.030533317378282687,0.05450571375275865,0.14517643547249698
144.0,0.024983268566629673,0.0064780958242111174,0.1585459654540681,0.0012598399623437256,0.03007828315750946,0.052511098845030246,0.15171571337948447
145.860612,0.02242614629707577,0.006557921040785941,0.1554606105726549,0.0,0.03007645967317787,0.054353306948406,0.15052297119379252
151.739388,0.023089764161904794,0.007956415372365196,0.15069211703860502,0.0,0.029223331360545498,0.054824494811745235,0.156618580007451
156.0,0.022707273412290667,0.007011229373170385,0.14136119910156927,0.0007572285818489172,0.028861634747176595,0.05746326523593398,0.16337027382771888
157.860612,0.02282062930386972,0.006533833716590866,0.14271426722654196,5.4816310169553424e-05,0.0303017558035782,0.054967872722373544,0.1640564656968449
163.739388,0.02260549410080145,0.00893956487741248,0.13425879558327927,0.0,0.029585780640072903,0.057339451563277674,0.17114190613259841
168.0,0.02329841345256088,0.006393322742261201,0.12745199582132974,0.0,0.02900801874533602,0.05704221742927438,0.1750535645310774
169.860612,0.023196923487187673,0.007275133986113137,0.12454867132136334,0.001587647585955355,0.030128625410228583,0.0563956623366546,0.17598682161515833
175.739388,0.0194976382730919,0.007949371942362697,0.11841940861099423,0.001132893353938113,0.030128682669449004,0.059841588950933625,0.18178819648938455
180.0,0.02291644737456599,0.008861135796960495,0.11302182723334021,0.0,0.02881655431410141,0.059335264109251655,0.1848569581862785
