,A,B,C,D,E
3.32899,0.0035958925604105633,0.10880251472019728,0.025399921308589216,0.04633178336541122,0.07940521878725564
3.4,0.00519588755432006,0.10315678659035682,0.024581185144480037,0.04858216163658807,0.08198506132246514
3.43101,0.004772914059734907,0.10393411945770473,0.027769157244107757,0.04198980367394089,0.08702997397606183
3.52899,0.001586655204268268,0.10021062852772882,0.024249067289254137,0.04492841780810032,0.08445835162804023
3.6,0.0053502550539472,0.09620561715386972,0.022146676448731726,0.04300634125804951,0.08339049634500419
3.63101,0.004282654084786397,0.09716557441087872,0.02309519907963082,0.04133621214538925,0.08088759780631018
3.72899,0.0026810363048908824,0.08673085477427468,0.024132836494374324,0.04278858525645559,0.09244351640070869
3.8,0.0,0.09301536043999056,0.01991475724515541,0.040924722731397585,0.08659370380496358
3.83101,0.006772060557921802,0.08980135981824588,0.02233294210965469,0.03623782093309795,0.0944474866376616
3.92899,0.0019046627973066622,0.09002141620360858,0.02124442732251689,0.03771006365331443,0.08968609692603026
4.0,0.0019170578286298364,0.09264710174871817,0.033747293400106224,0.04258276458252837,0.098210823637276
4.03101,0.005806016434553579,0.08962118426548585,0.0225128331178057,0.04060128239107739,0.09492424162143066
4.12899,0.003993688029018811,0.08202068768898538,0.030561732352137126,0.043359889528822804,0.09439552549749343
4.2,0.0,0.08355044919870208,0.03313875113322099,0.040504003322488435,0.0986127181313518
4.23101,0.0062406256524924425,0.08111108676028624,0.024278050877424285,0.03495830953194525,0.10034208262330355
4.32899,0.005219469022405802,0.08447278257501785,0.023575125123198187,0.03922609980167874,0.10323777566934474
4.4,0.00013039412701687752,0.08428195561881156,0.02091563005567544,0.04030421832132401,0.10056791305570251
4.43101,0.0,0.08184715690535727,0.029503084060636075,0.03826844412417887,0.10575207958756595
4.52899,0.006439656489358632,0.07867430451452936,0.03530734581801613,0.043053579402995375,0.10129291255750326
4.6,0.002386636495565288,0.07985500743539421,0.029472189344684145,0.0377667233697861,0.10802987156774464
4.63101,0.0,0.07585311346330563,0.02666002590363828,0.035214530506348755,0.1051368749917439
4.72899,0.0,0.07182934558316524,0.026796046760202134,0.03778882753052705,0.10743418233479296
4.8,0.002933462477861891,0.07584197724982071,0.025700839513259643,0.03447002996666246,0.10864128066834153
4.83101,0.0032369210731598066,0.06991324095092055,0.02802376969941798,0.037392056223283586,0.10368329212184185
4.92899,0.00011341774753228796,0.06658606434883688,0.024606841058035615,0.03540109633554731,0.11118218091490983
5.0,0.003515935882787822,0.0681705518292435,0.027122596550735813,0.03151070374438156,0.10804263072519237
5.03101,0.0,0.06768402307312477,0.028217801469614414,0.03425061269280973,0.11318925675498055
5.12899,0.005328858522534452,0.06698165234434537,0.026554982803233873,0.03301819715589418,0.11475778725403317
5.2,0.0,0.06462778614036258,0.023841000564702234,0.029195926141402963,0.11257356478330492
5.23101,0.0,0.06143735984154902,0.027527866217075623,0.03557156603537642,0.11674246312426957
5.32899,0.0,0.06073526430300176,0.028190836302123753,0.031153587939473707,0.11523350383914659
5.4,0.0,0.061667618317997025,0.018967125205231663,0.029494165890909183,0.1197594975548902
5.43101,9.541900807365068e-05,0.05774084817969537,0.027940628723162695,0.027586299551417708,0.10455901324430432
5.52899,0.0,0.055034859485299924,0.022408373324258785,0.03024671422935905,0.11918417783288644
5.6,0.0,0.053778482187776415,0.028910251239449167,0.03205823766995713,0.11712261677179156
5.63101,0.004998530640840022,0.06066177500180285,0.02254439633350683,0.033054314437292516,0.1129753282894718
