,A
0.0,0.0010251060232394802
0.005163,0.0010239280891305718
0.021477,0.0010202151853828342
0.0333,0.001017532694929984
0.038479,0.0010163599540380394
0.054841,0.0010126634460877392
0.0667,0.001009992826362968
0.071863,0.0010088322586041657
0.088177,0.0010051740944092653
0.1,0.0010025311520669657
0.105179,0.001001375700961232
0.121541,0.0009977336908395878
0.1334,0.0009951024442145426
0.138563,0.000993958986772751
0.154877,0.0009903547551023222
0.1667,0.0009877507778105119
0.171863,0.0009866157680594161
0.188177,0.0009830381639076289
0.2,0.0009804534244063439
0.205179,0.000979323418629451
0.221541,0.0009757616128061342
0.2334,0.0009731883114591741
0.238563,0.0009720700352219162
0.254877,0.0009685451758932658
0.2667,0.0009659985433546482
0.271879,0.0009648851973177145
0.288241,0.000961375903401872
0.3001,0.000958840540384214
0.305263,0.0009577387509576398
0.321577,0.0009542658588321743
0.3334,0.0009517567714430881
0.338563,0.0009506631218702131
0.354877,0.0009472158869466892
0.3667,0.0009447253363158738
0.371879,0.0009436365083705173
0.388241,0.0009402044960784879
0.4001,0.0009377249667913922
0.405263,0.000936647440956876
0.421577,0.0009332510288154815
0.4334,0.0009307971965154157
0.438579,0.0009297244212228872
0.454941,0.0009263430072848585
0.4668,0.0009239000338402096
0.471963,0.0009228383940308531
0.488277,0.0009194920553883974
0.5001,0.0009170744000786251
0.505263,0.0009160206035036663
0.521577,0.0009126989871051538
0.5334,0.0009102991930672745
0.538579,0.0009092500424179308
0.554941,0.0009059430939325492
0.5668,0.0009035539196165181
0.571963,0.0009025156592248849
0.588277,0.000899243013607385
0.6001,0.0008968785998706018
0.605279,0.000895844916909436
0.621641,0.000892586722955183
0.6335,0.0008902327723730795
0.638663,0.0008892098191139301
0.654977,0.0008859854222984108
0.6668,0.0008836558672489158
0.671963,0.0008826404714137803
0.688277,0.0008794398959544235
0.7001,0.0008771275513054189
0.705279,0.0008761166320966382
0.721641,0.0008729301900461929
0.7335,0.0008706280781324152
0.738663,0.0008696276523362962
0.754977,0.0008664742631444463
0.7668,0.0008641960095251834
0.771979,0.0008631999943562603
0.788341,0.0008600605302036641
0.8002,0.0008577923584578262
0.805363,0.0008568066819965804
0.821677,0.0008536997834023899
0.8335,0.0008514551182068628
0.838663,0.0008504767237742839
0.854977,0.0008473927784771619
0.8668,0.0008451646965287185
0.871979,0.0008441906155925621
0.888341,0.000841120288677665
0.9002,0.0008389020665797647
0.905363,0.000837938096672403
0.921677,0.0008348996181576188
0.9335,0.0008327043849490917
0.938679,0.0008317446649440274
0.955041,0.0008287196040348781
0.9669,0.0008265340853125517
0.972063,0.0008255843272688048
0.988377,0.0008225906452169796
1.0002,0.0008204277764575124
1.005363,0.0008194850350825947
1.021677,0.0008165134699011406
1.0335,0.0008143665800890549
1.038679,0.0008134279950251428
1.055041,0.0008104695519669912
1.0669,0.0008083321627088213
1.072063,0.0008074033202240474
1.088377,0.0008044755649984423
1.1002,0.0008023603269059511
1.105379,0.0008014355794554516
1.121741,0.0007985207528929326
1.1336,0.0007964148752871459
1.138763,0.0007954997267803814
1.155077,0.0007926151356179343
1.1669,0.0007905310826019208
1.172063,0.000789622695073959
1.188377,0.0007867594148348864
1.2002,0.0007846907584874584
1.205379,0.0007837863758129807
1.221741,0.0007809357395221483
1.2336,0.0007788762375249112
1.238763,0.0007779812424063581
