,B,C
0.7001,0.00010875969171558145,3.9218780218435435e-05
0.705279,0.00010926039535829212,3.9728995784505556e-05
0.721641,0.0001108194964221776,4.135633677106455e-05
0.7335,0.00011192792102184329,4.255002408517494e-05
0.738663,0.00011240492990333846,4.307344099979879e-05
0.754977,0.0001138900345486629,4.474172554632345e-05
0.7668,0.00011494564693640498,4.59643667778428e-05
0.771979,0.0001154025960908657,4.6503432792305336e-05
0.788341,0.00011682490101484548,4.82205920209212e-05
0.8002,0.00011783554626769029,4.947811851391277e-05
0.805363,0.00011827033696057788,5.002900428227121e-05
0.821677,0.00011962344722743375,5.178279260960498e-05
0.8335,0.00012058471118295494,5.306619384960954e-05
0.838663,0.00012099943795134724,5.362986151379626e-05
0.854977,0.00012228982077707422,5.542342398519045e-05
0.8668,0.00012320624964121742,5.673507706948904e-05
0.871979,0.00012360274299121318,5.731266465564983e-05
0.888341,0.00012483604606724225,5.9149688494517216e-05
0.9002,0.00012571160586351832,6.049235079614002e-05
0.905363,0.00012608807322348994,6.10798533435303e-05
0.921677,0.0001272588466615606,6.2947558420243e-05
0.9335,0.0001280897873001968,6.43118509901325e-05
0.938679,0.00012844914963281665,6.491220866257714e-05
0.955041,0.00012956637739628473,6.682004180825766e-05
0.9669,0.0001303589809235668,6.821295700330027e-05
0.972063,0.00013069963346703628,6.882206250357789e-05
0.988377,0.0001317584452998586,7.075693272258001e-05
1.0002,0.00013250936884093924,7.216887794096501e-05
1.005363,0.00013283300983552823,7.27879783212939e-05
1.021677,0.0001338386434315501,7.475390990672533e-05
1.0335,0.00013455156326392154,7.618787988643798e-05
1.038679,0.0001348596668269091,7.681836138736266e-05
1.055041,0.00013581666435236967,7.881980692005293e-05
1.0669,0.00013649476447508471,8.027909605550656e-05
1.072063,0.00013678598477330712,8.091671824205826e-05
1.088377,0.00013769027496472763,8.294018327624202e-05
1.1002,0.00013833077370175494,8.441492263170432e-05
1.105379,0.0001386074249916768,8.506301879228234e-05
1.121741,0.00013946611212095053,8.711915822552665e-05
1.1336,0.0001400739640687034,8.861718388355902e-05
1.138763,0.0001403348591697339,8.927143728929307e-05
1.155077,0.00014114436145025485,9.134652617121832e-05
1.1669,0.00014171712864949896,9.285781198798608e-05
1.172063,0.00014196362869766088,9.351969946778604e-05
1.188377,0.00014272813810646532,9.561847029805344e-05
1.2002,0.0001432687571054215,9.714650764652373e-05
1.205379,0.0001435020333315698,9.781761409485323e-05
1.221741,0.00014422515263102552,9.99451310862292e-05
1.2336,0.00014473614306285078,0.00010149364265163945
1.238763,0.00014495522674782177,0.00010216955408522191
1.255077,0.00014563404802206298,0.0001043117995453177
1.2669,0.00014611344500476653,0.00010587056059090116
1.272079,0.00014632013577482606,0.00010655491912969554
1.288441,0.00014696016920833494,0.00010872349489273734
1.3003,0.0001474118019022845,0.0001103010008399936
1.305463,0.00014760526471685248,0.00011098933817963043
1.321777,0.00014820401465563058,0.00011317006382657513
1.3336,0.0001486262075168866,0.00011475598031293446
1.338763,0.0001488075171843474,0.00011544995619346238
1.355077,0.00014936828755524758,0.00011764812706289856
1.3669,0.00014976334908135,0.00011924633927616598
1.372079,0.00014993341983236648,0.00011994769515800724
1.388441,0.0001504590164622413,0.00012216885657041348
1.4003,0.00015082890282133664,0.00012378342318842878
1.405463,0.0001509870834243082,0.0001244876237484262
1.421777,0.00015147557739505336,0.0001267173957891234
1.4336,0.00015181901067460343,0.0001283378492999165
1.438779,0.00015196666506063676,0.00012904877405392823
1.455141,0.00015242221730108109,0.0001312994842444584
1.467,0.00015274207438944123,0.00013293482322918594
1.472163,0.00015287866362588475,0.00013364790102077994
1.488477,0.0001532996913832136,0.0001359050637232311
1.5003,0.0001535949371624003,0.00013754475103883523
1.505463,0.00015372129327271867,0.00013826178474501602
1.521777,0.00015411034762301615,0.00014053113478830888
1.5336,0.0001543827582995166,0.0001421793622134459
1.538779,0.00015449957785430688,0.00014290221418032905
1.555141,0.00015485878982769374,0.00014518966736275362
1.567,0.00015510984460259208,0.00014685075135909673
1.572163,0.00015521674282159098,0.00014757480881217544
1.588477,0.00015554500471984926,0.00014986575829910938
1.6003,0.00015577400155082546,0.00015152908349211567
1.605479,0.00015587197431154434,0.00015225840292768243
1.621841,0.00015617230759990762,0.00015456571485898817
1.6337,0.00015638131947421364,0.00015624065098438403
1.638863,0.00015647007600365188,0.00015697059929990596
1.655177,0.00015674166260438386,0.00015927960890073817
1.667,0.00015693019046179003,0.00016095550445521597
1.672163,0.00015701035732387637,0.00016168799397047872
1.688477,0.0001572551113519282,0.00016400477108942534
1.7003,0.00015742448118588536,0.00016568605058907534
1.705479,0.00015749657100539398,0.00016642303434813885
1.721841,0.00015771605336138922,0.00016875377168356178
1.7337,0.0001578673415259336,0.00017044494324099495
1.738863,0.00015793119231735184,0.00017118176778735977
1.755177,0.00015812498157194655,0.00017351174487919438
1.767,0.00015825796688145752,0.0001752021246740556
1.772179,0.00015831426440554228,0.00017594297251038475
1.788541,0.00015848442224246403,0.00017828543632975017
1.8004,0.0001586005008493838,0.00017998465395548677
1.805563,0.00015864916148870136,0.0001807248642515395
1.821877,0.00015879550775892905,0.000183065076295792
1.8337,0.00015889462742882016,0.00018476243975399411
1.838863,0.0001589361042700158,0.000185504005788971
1.855177,0.00015906001542250449,0.00018784828263408864
1.867,0.00015914312225622196,0.000189548386782732
1.872179,0.00015917777285795598,0.00019029332681691594
1.888541,0.0001592803293172795,0.00019264805909327424
1.9004,0.0001593481603052912,0.00019435554790849291
1.905563,0.00015937600815892552,0.0001950991984850109
1.921877,0.0001594573594201924,0.0001974496465841846
1.9337,0.00015951009303607168,0.00019915383396891027
1.938879,0.00015953156338393917,0.00019990046070751647
1.955241,0.00015959296516068844,0.00020226011971772676
1.9671,0.0001596314294835882,0.00020397080155640788
1.972263,0.00015964661082403493,0.00020471574440052278
1.988577,0.00015968841259788547,0.00020706988982971118
2.0004,0.00015971292598682466,0.00020877639505432948
2.005563,0.00015972212532010152,0.00020952170422306517
2.021877,0.0001597452509096361,0.000211876824940887
2.0337,0.00015975643979029478,0.00021358386616998905
2.038879,0.00015975988433462887,0.00021433160368833403
2.055241,0.00015976501044153406,0.00021669422180002626
2.0671,0.00015976332678522987,0.00021840653194446844
2.072263,0.00015976119363467084,0.000219152049834934
2.088577,0.0001597489421718029,0.00022150748498348893
2.1004,0.0001597348947782775,0.00022321443052174966
2.105579,0.0001597273910913622,0.00022396204155112386
2.121941,0.0001596983433878973,0.00022632392568441346
2.1338,0.00015967228529930845,0.00022803539039674439
2.138963,0.0001596596417721415,0.00022878045889997446
2.155277,0.0001596145844840712,0.0002311341541823039
2.1671,0.00015957713958311497,0.00023283953873358293
2.172263,0.00015955954057554058,0.00023358415167223576
2.188577,0.00015949901767508846,0.00023593625669849833
2.2004,0.00015945054424944965,0.00023764034728850636
2.205579,0.00015942810779608614,0.00023838659245030354
2.221941,0.000159352457932336,0.00024074370505113246
2.2338,0.00015929316942721647,0.0002424512841778034
2.238963,0.00015926619902476886,0.00024319455010325919
2.255277,0.00015917643247869196,0.0002455421138484747
2.2671,0.00015910710887356532,0.00024724264575918907
2.272279,0.00015907562987788632,0.0002479872623100127
2.288641,0.00015897176608909545,0.0002503389530999387
2.3005,0.00015889236491825398,0.00025204234404919095
2.305663,0.00015885672470256182,0.0002527837194019258
2.321977,0.0001587399086459848,0.0002551250458240805
2.3338,0.00015865130382913288,0.0002568208099489433
2.338963,0.00015861158416984186,0.00025756105088078766
2.355277,0.0001584820422303259,0.00025989866883963374
2.3671,0.00015838436799752448,0.0002615916289304717
2.372279,0.0001583405958367889,0.00026233283394062326
2.388641,0.00015819838476096603,0.00026467337040134023
2.4005,0.00015809165578018844,0.00026636832567928666
2.405663,0.00015804423782988164,0.0002671059370768602
2.421977,0.00015789068462752792,0.0002694350125071879
2.4338,0.00015777590165558732,0.00027112156194629205
2.438979,0.0001577247124650737,0.00027185990169373444
2.455341,0.00015755937078514213,0.0002741911587213666
2.4672,0.00015743616377759115,0.00027587917671472405
2.472363,0.00015738164565115158,0.00027661371272686406
2.488677,0.00015720595160627053,0.00027893285515077546
2.5005,0.00015707539725838405,0.00028061200332268063
2.505663,0.00015701754653496032,0.00028134484806248015
2.521977,0.0001568314621411774,0.0002836585453627463
2.5338,0.00015669350830093572,0.00028533365224997335
2.538979,0.0001566322762883383,0.00028606690239909904
2.555341,0.00015643562436356735,0.0002883817719126691
2.5672,0.00015629012087849955,0.00029005762613688293
2.572363,0.00015622599776003986,0.00029078679179623325
2.588677,0.00015602036105428663,0.0002930886738893998
2.6005,0.0001558684865600579,0.00029475503909510737
2.605679,0.00015580122253671828,0.0002954844136530573
2.622041,0.00015558577092855813,0.00029778685384665394
2.6339,0.00015542688577086943,0.00029945352769479653
2.639063,0.00015535699957113934,0.00030017865167510565
2.655377,0.00015513340314758582,0.0003024675884201346
2.6672,0.00015496874659375154,0.0003041244074620529
2.672363,0.00015489616376503245,0.00030484738727369636
2.688677,0.00015466416562802954,0.0003071294673101474
2.7005,0.00015449353131918257,0.0003087812402362229
2.705679,0.00015441814073203857,0.00030950416036861416
2.722041,0.00015417737072343486,0.0003117859593278589
2.7339,0.0001540004726699123,0.00031343744156940264
2.739063,0.0001539228311901583,0.0003141558911920704
2.755377,0.00015367507594972913,0.00031642350385695977
2.7672,0.00015349323420539885,0.0003180646477069616
2.772379,0.00015341299024774731,0.00031878287464464776
2.788741,0.00015315710581765153,0.00032104969701853995
2.8006,0.00015296946053680702,0.00032269018660817427
2.805763,0.00015288719352605557,0.0003234038142906468
2.822077,0.00015262503539852134,0.0003256560509688211
2.8339,0.0001524329542714476,0.0003272859196269513
2.839063,0.0001523485314627353,0.0003279970387102002
2.855377,0.00015207966261396552,0.00033024128371016636
2.8672,0.00015188281252756551,0.0003318652991707287
2.872379,0.0001517960716101223,0.00033257597341552873
2.888741,0.00015151996383079458,0.00033481873429007326
2.9006,0.00015131794767170892,0.0003364416002399564
