,r4,r5,v_sum,r0,r1,r2,r3,f,Csat
0.0,6.99378532571,0.0,0.664988245736,0.362208978536,0.0265066890445,0.0,0.0,0.0,1.003993
0.52631425,0.854870156227,0.0,0.082407556365,0.509644530146,0.245182464348,0.0,0.0,0.0,1.10228046835
1.0526285,0.630636953204,0.0,0.0623569597838,0.478677148751,0.336642320796,0.0,0.0,0.0,1.21627603096
1.57894275,0.566119571089,0.0,0.0566577645995,0.440753095169,0.358752197638,0.0,0.0,0.0,1.32008842755
2.105257,0.520241132142,0.0,0.0523522337427,0.40466186136,0.351790513779,0.0,0.0,0.0,1.39849681957
2.63157125,0.479304318209,0.0,0.0483604358162,0.37149140811,0.333595119503,0.0,0.0,0.0,1.45262831371
3.1578855,0.441799649798,0.0,0.0446353088148,0.341248522556,0.311687500904,0.0,0.0,0.0,1.48705275127
3.68419975,0.407447335725,0.0,0.0411917253723,0.313727504623,0.289227403184,0.0,0.0,0.0,1.50813850227
4.210514,4.97865368192e-07,0.0,0.00223118773625,0.286479966862,0.268587897395,0.0,0.0,0.0,1.51259239777
4.73682825,6.94275640883e-08,0.0,0.00219291274199,0.247062783235,0.252525041349,0.0,0.0,0.0,1.51345335247
5.2631425,4.19216718817e-08,0.0,0.00207407530905,0.214762036211,0.232559745895,0.0,0.0,0.0,1.51359772024
5.78945675,3.02655709285e-08,0.0,0.00192453139918,0.18812205076,0.212087191394,0.0,0.0,0.0,1.50932632672
6.315771,2.35881628375e-08,0.0,0.00176891612904,0.165980066435,0.192636416554,0.0,0.0,0.0,1.50541915289
6.84208525,1.92226839515e-08,0.0,0.0016189350032,0.147426884085,0.174815470034,0.0,0.0,0.0,1.50141759451
7.3683995,1.61421721705e-08,0.0,0.00147967835334,0.131755661345,0.158785333364,0.0,0.0,0.0,1.4971637587
7.89471375,1.38548935848e-08,0.0,0.00135287973934,0.118415924524,0.144497961835,0.0,0.0,0.0,1.49305281319
8.421028,1.20929189246e-08,0.0,0.00123861121995,0.106977636276,0.131816142571,0.0,0.0,0.0,1.48858212749
8.94734225,1.06968977545e-08,0.0,0.00113616494004,0.0971024634193,0.120572487227,0.0,0.0,0.0,1.48449518746
9.4736565,9.56586979074e-09,0.0,0.00104451133925,0.0885222662592,0.110597909377,0.0,0.0,0.0,1.48056218277
9.99997075,8.63270011887e-09,0.0,0.000962533603577,0.08102288474,0.101734466112,0.0,0.0,0.0,1.47625710518
10.526285,7.85099689743e-09,0.0,0.000889143608289,0.0744319338785,0.0938403182746,0.0,0.0,0.0,1.47647253069
11.05259925,7.18768888995e-09,0.0,0.00082333502914,0.0686096284639,0.0867908121895,0.0,0.0,0.0,1.47322783079
11.5789135,6.61857135941e-09,0.0,0.000764202881795,0.0634417547708,0.080477664566,0.0,0.0,0.0,1.47116305036
12.10522775,6.12553526708e-09,0.0,0.000710946461013,0.0588343491656,0.0748074237559,0.0,0.0,0.0,1.46903573265
12.631542,5.69477109729e-09,0.0,0.000662863891867,0.0547095886431,0.0696996814181,0.0,0.0,0.0,1.46738767175
13.15785625,5.31557200406e-09,0.0,0.000619343127652,0.0510026103292,0.0650853164606,0.0,0.0,0.0,1.46645636265
13.6841705,4.97951494464e-09,0.0,0.000579851839465,0.0476590298879,0.0609048849253,0.0,0.0,0.0,1.46501297076
14.21048475,4.6798870148e-09,0.0,0.000543927411357,0.0446329877263,0.0571071933631,0.0,0.0,0.0,1.46354126557
14.736799,4.41127566703e-09,0.0,0.000511167680072,0.0418856034694,0.0536480656777,0.0,0.0,0.0,1.46245174349
15.26311325,4.16927147957e-09,0.0,0.000481222686792,0.0393837485486,0.0504892942885,0.0,0.0,0.0,1.46135667918
15.7894275,3.95024813662e-09,0.0,0.000453787416023,0.0370990593079,0.0475977479088,0.0,0.0,0.0,1.46595294531
16.31574175,3.75119771358e-09,0.0,0.000428595516699,0.0350071417912,0.0449446193375,0.0,0.0,0.0,1.47624855419
16.842056,3.56960546284e-09,0.0,0.000405413886025,0.0330869246236,0.0425047895032,0.0,0.0,0.0,1.48540726841
17.36837025,3.40335387671e-09,0.0,0.000384038059356,0.031320133146,0.0402562944357,0.0,0.0,0.0,1.49251617545
17.8946845,3.2506480398e-09,0.0,0.000364288260105,0.0296908565491,0.0381798744337,0.0,0.0,0.0,1.49905386883
18.42099875,3.10995719701e-09,0.0,0.000346006044418,0.0281851920419,0.0362585950528,0.0,0.0,0.0,1.50444369742
18.947313,2.97996846969e-09,0.0,0.00032905143396,0.0267909493795,0.0344775260825,0.0,0.0,0.0,1.50878399049
19.47362725,2.8595495741e-09,0.0,0.0003133004204,0.025497400579,0.0328234644283,0.0,0.0,0.0,1.51249346141
19.9999415,2.74771919503e-09,0.0,0.000298642891958,0.0242950757436,0.0312847051152,0.0,0.0,0.0,1.51514717281
20.52625575,2.64362345734e-09,0.0,0.000284980902286,0.023175595084,0.0298508509263,0.0,0.0,0.0,1.51759549232
21.05257,2.5465155481e-09,0.0,0.000272227063455,0.022131516845,0.0285126369706,0.0,0.0,0.0,1.51994412525
21.57888425,2.45573993859e-09,0.0,0.000260303261237,0.0211562165771,0.0272617907163,0.0,0.0,0.0,1.52223720776
22.1051985,2.37071896607e-09,0.0,0.000249139512316,0.0202437814269,0.0260909080447,0.0,0.0,0.0,1.52344408807
