,A,C,B
190.0,0.000448763902943,0.277941093634,0.101906824647
191.0,-0.000376348092711,0.279731678787,0.096862776957
192.0,-0.00126848357223,0.282881717857,0.0908977871732
193.0,0.00024265059861,0.286854471555,0.0851842352625
194.0,5.08263155493e-05,0.29310943218,0.0781271917505
195.0,0.000686250015793,0.295368351956,0.072970517079
196.0,-0.000957907505646,0.29644969939,0.0689078295456
197.0,0.000176309198718,0.303406429157,0.062376043845
198.0,-0.00063292216548,0.301928107938,0.0590429161981
199.0,-0.000449447946123,0.301306948685,0.0548129589059
200.0,-0.000679500021562,0.30452708752,0.050103838084
201.0,0.000213734488384,0.309758739555,0.0444153652122
202.0,0.000558737793096,0.305694612127,0.0419543251557
203.0,-0.000232698740921,0.302381272703,0.0394885375324
204.0,-0.000646873363764,0.300702065593,0.0359284907771
205.0,-0.00166751415032,0.296243645795,0.0343710511364
206.0,0.000207103723853,0.296171443987,0.0303176273963
207.0,-0.000217911282684,0.296546603083,0.0272450054974
208.0,-0.000319969484706,0.29385874002,0.0243073038891
209.0,-0.000467605658036,0.289140376822,0.0227755599644
210.0,8.5124850813e-05,0.285809727148,0.0207239762263
211.0,-0.000973869762225,0.278198757014,0.0196626763989
212.0,-0.000310878293021,0.274206093988,0.0172019649517
213.0,-0.000557654947565,0.271082519991,0.0150915544362
214.0,-0.00048823101462,0.265014789548,0.013716698917
215.0,-0.000296186594035,0.259671612396,0.0120699610374
216.0,-0.000389368662829,0.254480417301,0.0108299721655
217.0,0.000378741886913,0.250358660525,0.00861514319658
218.0,-0.00013978079317,0.243494149065,0.00794204947701
219.0,0.000289355283972,0.235552064186,0.00736907784392
220.0,-0.000740861105918,0.226283715841,0.00717555553732
221.0,-3.94681042404e-05,0.222846755629,0.00542473927885
222.0,0.000253685755501,0.213181800034,0.00536972900671
223.0,-0.000480490992374,0.206425065314,0.00464275845909
224.0,-0.000698310983168,0.199499756154,0.0040884466452
225.0,-0.000522182629086,0.192440402827,0.00354563210471
226.0,-0.000487659377063,0.183240280112,0.00392327081893
227.0,3.74161682441e-06,0.17942702901,0.00207609207856
228.0,-8.88503008466e-05,0.169224767233,0.00256734368064
229.0,7.34356880419e-06,0.166229143704,0.00063962012081
230.0,-0.000940778731997,0.152862064899,0.00265466587818
231.0,-0.00100784559883,0.144439928176,0.00258790059671
232.0,-0.00113880490266,0.138127074983,0.00228427189268
233.0,-0.0011119149766,0.131387223002,0.00188356965686
234.0,-8.97031301142e-05,0.125399419401,0.00165638171558
235.0,6.73932807971e-05,0.118271025972,0.00156001637975
236.0,9.65921728735e-05,0.116533497556,0.000185387474493
237.0,5.98668994492e-05,0.106292231975,0.0011189137181
238.0,0.000157975865786,0.102974140112,-0.000199336404729
239.0,0.000146017395546,0.0940986159715,0.000633695370322
240.0,-0.000729235523767,0.0900555774446,0.000129579287024
241.0,0.000361613931514,0.084980155503,-0.00015211804009
242.0,0.000771470828079,0.0776565233309,0.000245216897288
243.0,-0.000518035640792,0.0734387598014,0.000510247670097
244.0,-0.000426555111111,0.0683940212303,0.00108371813247
245.0,-4.12673785833e-05,0.0637745124755,0.000254852015526
246.0,-0.000446022535694,0.0596014400416,0.000556119528023
247.0,-0.000143197179466,0.056194598742,0.000115789062439
248.0,1.43325997021e-05,0.0518255152151,-0.000251928181478
249.0,-8.25354891184e-05,0.0476925129355,8.57819334231e-05
250.0,-0.00018809600084,0.0427859436146,0.000511687622129
251.0,0.000716893389274,0.042808533259,-0.000507082576368
252.0,-0.000382972833869,0.0383182822403,0.000104633643909
253.0,0.000320829486124,0.0344191408653,-0.000334662895607
254.0,-9.56614273937e-05,0.0314626294389,0.000317366908256
255.0,-0.000753595894072,0.0315009686064,-0.000481336779539
256.0,-3.1316750303e-05,0.0284567064735,-0.000527755715912
257.0,0.000633353564596,0.0267764346602,-0.000503906290617
258.0,0.00066405920451,0.0234309633919,-0.00028781183055
259.0,0.000506314181684,0.0185302374673,0.000623371224089
260.0,0.000378302579997,0.0189865674062,1.20807809275e-05
261.0,0.000153616469323,0.0136107283962,0.000683373791129
262.0,-9.62836139471e-06,0.0149198799211,0.000115031325272
263.0,0.000166542373037,0.0123666395478,0.0006027329969
264.0,-0.000152995717538,0.0105988920265,0.000535260817344
265.0,0.000400276008377,0.0106061789305,0.000315698463918
266.0,-0.000447029101866,0.00933194737416,0.000490023890741
267.0,-0.000226352465312,0.00766174445691,0.000497499944309
268.0,0.000685255917724,0.00856478125514,-0.000228560188442
269.0,-0.000127094492979,0.00634983648571,0.00050000718424
270.0,0.000225967686026,0.00750129602483,-0.000533756167814
271.0,0.000708136699914,0.00747649724705,-0.000576563968665
272.0,-4.87390985974e-05,0.00402026552563,0.000318941242049
273.0,-0.000270798144777,0.00423260142136,7.84809159702e-05
274.0,-0.000147994399826,0.00626947869589,-0.000428014849073
275.0,0.000798499235019,0.00648463969189,-0.000940794177669
276.0,-0.000378564191623,0.00135628991039,0.000357087456475
277.0,0.000283640409582,0.00296030930173,0.000160569785961
278.0,0.000940797257244,0.00387071624655,-0.000664417074986
279.0,-0.000455958427582,0.00247097046826,0.00026401254255
280.0,-0.000125981709145,0.00440193794573,-0.000411957267913
281.0,3.45884616101e-05,0.00292802277229,-0.000643473861031
282.0,-0.000673171356387,0.000639724373895,0.000511500548126
283.0,0.000896879940343,0.00265842587422,-0.000759138467632
284.0,0.000223266731731,0.00369421692905,-0.000718965554946
285.0,0.00118466246695,0.00192183790035,-0.000713393092203
286.0,0.00100231049701,0.00406918606712,-0.00119025460701
287.0,-0.000406008561115,0.00196462905341,-0.000551108380594
288.0,0.000549288528789,0.0010955178901,-0.000867518602955
289.0,0.000591023585189,0.00243710640068,-0.000834635258479
290.0,-0.000722415841474,0.00141496506177,2.56955325804e-05
291.0,-0.000527362398929,0.00146193271383,-7.43775975384e-05
292.0,-0.000406431585416,-0.00411659111905,0.00175744039557
293.0,-0.000200139043534,0.00152180391805,-0.000167149721197
294.0,-0.00105282765306,-0.00339063012863,0.00173825566295
295.0,0.00039133519433,-0.000833892626472,-0.00012822258352
296.0,-0.000636552360475,0.000573522033504,-0.00019215583314
297.0,-0.000582053426407,0.000302835266409,0.000252021660482
298.0,-5.07887619259e-05,-3.58176419744e-05,0.000114163000812
299.0,0.000287986414512,0.000541902670466,-0.000465044623001
300.0,-9.96459261248e-05,-0.000971055393938,0.000238614371209
301.0,-0.000448404598112,-0.00222887634213,0.000625903204703
